local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988226613591040,1597988226913000192,2020-08-21 13:37:06.913000,9420.0,9420.0,9250.0,9355.0,nan,9336.112,8388,783113050.0,19363,9420.0,18,9415.0,1,9425.0,81,9410.0,23,9430.0,2,9405.0,81,9440.0,26,9400.0,9,9450.0,18,9395.0,7
1597988227106187008,1597988227436000000,2020-08-21 13:37:07.436000,9420.0,9420.0,9250.0,9355.0,nan,9336.112,8388,783113050.0,19363,9420.0,18,9415.0,1,9425.0,89,9410.0,23,9430.0,2,9405.0,89,9440.0,26,9400.0,9,9450.0,18,9395.0,7
1597988232623197952,1597988232932000000,2020-08-21 13:37:12.932000,9420.0,9420.0,9250.0,9355.0,nan,9336.112,8388,783113050.0,19363,9420.0,18,9415.0,1,9425.0,81,9410.0,23,9430.0,3,9405.0,81,9440.0,26,9400.0,9,9450.0,18,9395.0,7
1597988233124246016,1597988233405999872,2020-08-21 13:37:13.406000,9420.0,9420.0,9250.0,9355.0,nan,9336.112,8388,783113050.0,19363,9420.0,18,9415.0,1,9425.0,89,9410.0,23,9430.0,3,9405.0,89,9440.0,26,9400.0,9,9450.0,18,9395.0,7
1597988234627574016,1597988234937999872,2020-08-21 13:37:14.938000,9420.0,9420.0,9250.0,9355.0,nan,9336.122,8389,783207250.0,19364,9420.0,15,9415.0,1,9425.0,83,9410.0,15,9430.0,3,9405.0,89,9440.0,26,9400.0,9,9450.0,18,9395.0,7
1597988235135223040,1597988235413000192,2020-08-21 13:37:15.413000,9420.0,9420.0,9250.0,9355.0,nan,9336.122,8389,783207250.0,19364,9420.0,17,9415.0,1,9425.0,89,9410.0,23,9430.0,3,9405.0,89,9440.0,26,9400.0,9,9450.0,18,9395.0,7
1597988238115987968,1597988238430000128,2020-08-21 13:37:18.430000,9420.0,9420.0,9250.0,9355.0,nan,9336.122,8389,783207250.0,19364,9420.0,17,9415.0,1,9425.0,89,9410.0,22,9430.0,3,9405.0,89,9440.0,26,9400.0,9,9450.0,18,9395.0,7
1597988238636622080,1597988238932000000,2020-08-21 13:37:18.932000,9415.0,9420.0,9250.0,9355.0,nan,9336.131,8390,783301400.0,19365,9415.0,1,9410.0,14,9420.0,9,9405.0,74,9425.0,73,9400.0,9,9430.0,3,9395.0,7,9440.0,26,9390.0,7
1597988239133156096,1597988239420999936,2020-08-21 13:37:19.421000,9415.0,9420.0,9250.0,9355.0,nan,9336.141,8391,783395550.0,19364,9420.0,20,9410.0,5,9425.0,51,9405.0,58,9430.0,3,9400.0,25,9440.0,26,9395.0,7,9450.0,18,9390.0,7
1597988239616139008,1597988239932000000,2020-08-21 13:37:19.932000,9415.0,9420.0,9250.0,9355.0,nan,9336.141,8391,783395550.0,19364,9420.0,18,9410.0,11,9425.0,78,9405.0,91,9430.0,3,9400.0,9,9440.0,26,9395.0,7,9450.0,18,9390.0,7
1597988240127187968,1597988240416999936,2020-08-21 13:37:20.417000,9415.0,9420.0,9250.0,9355.0,nan,9336.141,8391,783395550.0,19364,9420.0,15,9410.0,13,9425.0,82,9405.0,90,9430.0,3,9400.0,9,9440.0,26,9395.0,7,9450.0,18,9390.0,7
1597988240613447936,1597988240916000000,2020-08-21 13:37:20.916000,9415.0,9420.0,9250.0,9355.0,nan,9336.141,8391,783395550.0,19364,9420.0,18,9410.0,18,9425.0,88,9405.0,96,9430.0,3,9400.0,9,9440.0,26,9395.0,7,9450.0,18,9390.0,7
1597988241131792896,1597988241423000064,2020-08-21 13:37:21.423000,9415.0,9420.0,9250.0,9355.0,nan,9336.141,8391,783395550.0,19364,9420.0,17,9410.0,19,9425.0,89,9405.0,95,9430.0,3,9400.0,9,9440.0,26,9395.0,7,9450.0,18,9390.0,7
1597988244630761984,1597988244932000000,2020-08-21 13:37:24.932000,9415.0,9420.0,9250.0,9355.0,nan,9336.141,8391,783395550.0,19364,9420.0,17,9410.0,19,9425.0,81,9405.0,87,9430.0,3,9400.0,9,9440.0,26,9395.0,7,9450.0,18,9390.0,7
1597988245121701888,1597988245427000064,2020-08-21 13:37:25.427000,9415.0,9420.0,9250.0,9355.0,nan,9336.141,8391,783395550.0,19364,9420.0,17,9410.0,17,9425.0,89,9405.0,95,9430.0,3,9400.0,9,9440.0,26,9395.0,7,9450.0,18,9390.0,7
1597988249115675904,1597988249420000000,2020-08-21 13:37:29.420000,9415.0,9420.0,9250.0,9355.0,nan,9336.141,8391,783395550.0,19364,9420.0,17,9410.0,17,9425.0,89,9405.0,95,9430.0,3,9400.0,9,9440.0,27,9395.0,7,9450.0,18,9390.0,7
1597988250140419072,1597988250435000064,2020-08-21 13:37:30.435000,9420.0,9420.0,9250.0,9355.0,nan,9336.15,8392,783489750.0,19364,9420.0,16,9410.0,17,9425.0,89,9405.0,95,9430.0,3,9400.0,9,9440.0,27,9395.0,7,9450.0,18,9390.0,7
1597988250633996032,1597988250933000192,2020-08-21 13:37:30.933000,9420.0,9420.0,9250.0,9355.0,nan,9336.15,8392,783489750.0,19364,9420.0,14,9410.0,17,9425.0,81,9405.0,87,9430.0,3,9400.0,9,9440.0,27,9395.0,7,9450.0,18,9390.0,7
1597988251133014016,1597988251436000000,2020-08-21 13:37:31.436000,9420.0,9420.0,9250.0,9355.0,nan,9336.15,8392,783489750.0,19364,9420.0,14,9410.0,17,9425.0,89,9405.0,95,9430.0,3,9400.0,9,9440.0,27,9395.0,7,9450.0,18,9390.0,7
1597988253612642048,1597988253898999808,2020-08-21 13:37:33.899000,9420.0,9420.0,9250.0,9355.0,nan,9336.15,8392,783489750.0,19364,9420.0,13,9410.0,17,9425.0,89,9405.0,95,9430.0,3,9400.0,9,9440.0,27,9395.0,7,9450.0,18,9390.0,7
1597988256619027968,1597988256924999936,2020-08-21 13:37:36.925000,9420.0,9420.0,9250.0,9355.0,nan,9336.15,8392,783489750.0,19364,9420.0,13,9410.0,17,9425.0,81,9405.0,87,9430.0,3,9400.0,9,9440.0,27,9395.0,7,9450.0,18,9390.0,7
1597988257118437888,1597988257427000064,2020-08-21 13:37:37.427000,9420.0,9420.0,9250.0,9355.0,nan,9336.15,8392,783489750.0,19364,9420.0,13,9410.0,17,9425.0,89,9405.0,95,9430.0,3,9400.0,9,9440.0,27,9395.0,7,9450.0,18,9390.0,7
1597988262631361024,1597988262910000128,2020-08-21 13:37:42.910000,9420.0,9420.0,9250.0,9355.0,nan,9336.15,8392,783489750.0,19364,9420.0,13,9410.0,17,9425.0,81,9405.0,87,9430.0,3,9400.0,9,9440.0,27,9395.0,7,9450.0,18,9390.0,7
1597988263110771968,1597988263379000064,2020-08-21 13:37:43.379000,9420.0,9420.0,9250.0,9355.0,nan,9336.15,8392,783489750.0,19364,9420.0,13,9410.0,17,9425.0,89,9405.0,95,9430.0,3,9400.0,9,9440.0,27,9395.0,7,9450.0,18,9390.0,7
1597988264625126912,1597988264935000064,2020-08-21 13:37:44.935000,9420.0,9420.0,9250.0,9355.0,nan,9336.15,8392,783489750.0,19364,9420.0,17,9410.0,17,9425.0,89,9405.0,95,9430.0,3,9400.0,9,9440.0,27,9395.0,7,9450.0,18,9390.0,7
1597988265137020928,1597988265413000192,2020-08-21 13:37:45.413000,9420.0,9420.0,9250.0,9355.0,nan,9336.15,8392,783489750.0,19364,9420.0,18,9410.0,17,9425.0,89,9405.0,95,9430.0,3,9400.0,9,9440.0,27,9395.0,7,9450.0,18,9390.0,7
1597988265613145088,1597988265935000064,2020-08-21 13:37:45.935000,9420.0,9420.0,9250.0,9355.0,nan,9336.15,8392,783489750.0,19364,9420.0,19,9410.0,16,9425.0,88,9405.0,96,9430.0,3,9400.0,9,9440.0,27,9395.0,7,9450.0,18,9390.0,7
1597988267607016960,1597988267938999808,2020-08-21 13:37:47.939000,9420.0,9420.0,9250.0,9355.0,nan,9336.15,8392,783489750.0,19364,9420.0,19,9410.0,16,9425.0,89,9405.0,96,9430.0,3,9400.0,9,9440.0,27,9395.0,7,9450.0,18,9390.0,7
1597988273611173888,1597988273932000000,2020-08-21 13:37:53.932000,9420.0,9420.0,9250.0,9355.0,nan,9336.15,8392,783489750.0,19364,9415.0,2,9410.0,16,9420.0,19,9405.0,96,9425.0,89,9400.0,9,9430.0,3,9395.0,7,9440.0,27,9390.0,7
