local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988226612603904,1597988226913000192,2020-08-21 13:37:06.913000,6150.0,6188.0,6052.0,6138.0,nan,6118.125,2241851,205738864335.0,590892,6150.0,28,6149.0,57,6151.0,161,6148.0,131,6152.0,230,6147.0,214,6153.0,132,6146.0,187,6154.0,86,6145.0,315
1597988227104950016,1597988227436000000,2020-08-21 13:37:07.436000,6150.0,6188.0,6052.0,6138.0,nan,6118.125,2241857,205739417760.0,590893,6150.0,30,6149.0,52,6151.0,161,6148.0,131,6152.0,230,6147.0,212,6153.0,132,6146.0,187,6154.0,86,6145.0,310
1597988227610382080,1597988227936000000,2020-08-21 13:37:07.936000,6149.0,6188.0,6052.0,6138.0,nan,6118.125,2241865,205740155745.0,590892,6150.0,26,6149.0,55,6151.0,162,6148.0,130,6152.0,230,6147.0,212,6153.0,132,6146.0,187,6154.0,86,6145.0,310
1597988228104743936,1597988228427000064,2020-08-21 13:37:08.427000,6150.0,6188.0,6052.0,6138.0,nan,6118.125,2241882,205741723995.0,590909,6150.0,13,6149.0,55,6151.0,162,6148.0,130,6152.0,230,6147.0,212,6153.0,132,6146.0,187,6154.0,86,6145.0,310
1597988228619808000,1597988228901999872,2020-08-21 13:37:08.902000,6149.0,6188.0,6052.0,6138.0,nan,6118.125,2241889,205742369685.0,590911,6150.0,27,6149.0,60,6151.0,161,6148.0,131,6152.0,230,6147.0,212,6153.0,132,6146.0,187,6154.0,86,6145.0,309
1597988229117434880,1597988229431000064,2020-08-21 13:37:09.431000,6149.0,6188.0,6052.0,6138.0,nan,6118.125,2241889,205742369685.0,590911,6150.0,30,6149.0,68,6151.0,161,6148.0,131,6152.0,231,6147.0,209,6153.0,132,6146.0,187,6154.0,86,6145.0,309
1597988229618670080,1597988229932000000,2020-08-21 13:37:09.932000,6150.0,6188.0,6052.0,6138.0,nan,6118.126,2241903,205743661170.0,590914,6150.0,18,6149.0,69,6151.0,162,6148.0,131,6152.0,231,6147.0,209,6153.0,132,6146.0,187,6154.0,86,6145.0,311
1597988230137366016,1597988230432000000,2020-08-21 13:37:10.432000,6150.0,6188.0,6052.0,6138.0,nan,6118.126,2241912,205744491420.0,590914,6150.0,17,6149.0,74,6151.0,162,6148.0,131,6152.0,231,6147.0,208,6153.0,132,6146.0,186,6154.0,86,6145.0,312
1597988230616271872,1597988230935000064,2020-08-21 13:37:10.935000,6150.0,6188.0,6052.0,6138.0,nan,6118.126,2241932,205746336420.0,590927,6150.0,1,6149.0,76,6151.0,162,6148.0,131,6152.0,231,6147.0,208,6153.0,132,6146.0,185,6154.0,86,6145.0,312
1597988231125032960,1597988231436999936,2020-08-21 13:37:11.437000,6150.0,6188.0,6052.0,6138.0,nan,6118.126,2241938,205746889920.0,590926,6151.0,162,6150.0,22,6152.0,231,6149.0,76,6153.0,132,6148.0,131,6154.0,86,6147.0,208,6155.0,260,6146.0,185
