local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988226611973120,1597988226913000192,2020-08-21 13:37:06.913000,419.4,420.88,414.8,417.0,nan,417.79,271650,113492724840.0,242533,419.4,2,419.38,2,419.42,5,419.36,6,419.44,2,419.34,18,419.46,17,419.32,92,419.48,4,419.3,2
1597988227122449920,1597988227436000000,2020-08-21 13:37:07.436000,419.4,420.88,414.8,417.0,nan,417.79,271659,113496499160.0,242531,419.4,5,419.34,18,419.42,5,419.32,92,419.44,2,419.3,2,419.46,17,419.28,14,419.48,4,419.26,3
1597988227625543936,1597988227936000000,2020-08-21 13:37:07.936000,419.34,420.88,414.8,417.0,nan,417.79,271660,113496918500.0,242531,419.4,6,419.34,17,419.42,5,419.32,91,419.44,5,419.3,2,419.46,17,419.28,14,419.48,4,419.26,3
1597988228104379904,1597988228427000064,2020-08-21 13:37:08.427000,419.34,420.88,414.8,417.0,nan,417.79,271660,113496918500.0,242531,419.38,4,419.34,17,419.4,7,419.32,91,419.42,6,419.3,2,419.44,5,419.28,14,419.46,17,419.26,3
1597988228619502080,1597988228901999872,2020-08-21 13:37:08.902000,419.38,420.88,414.8,417.0,nan,417.79,271661,113497337880.0,242531,419.38,3,419.34,17,419.4,7,419.32,91,419.42,6,419.3,2,419.44,5,419.28,14,419.46,6,419.26,3
1597988229117125120,1597988229431000064,2020-08-21 13:37:09.431000,419.36,420.88,414.8,417.0,nan,417.79,271662,113497757240.0,242532,419.38,4,419.36,1,419.4,7,419.34,17,419.42,6,419.32,91,419.44,5,419.3,2,419.46,6,419.28,14
1597988229618377984,1597988229932000000,2020-08-21 13:37:09.932000,419.34,420.88,414.8,417.0,nan,417.79,271669,113500692740.0,242535,419.38,3,419.34,12,419.4,7,419.32,91,419.42,6,419.3,2,419.44,5,419.28,14,419.46,7,419.26,3
1597988230136860928,1597988230432000000,2020-08-21 13:37:10.432000,419.34,420.88,414.8,417.0,nan,417.79,271669,113500692740.0,242535,419.38,3,419.34,12,419.4,7,419.32,92,419.42,6,419.3,3,419.44,5,419.28,14,419.46,7,419.26,3
1597988230615820032,1597988230935000064,2020-08-21 13:37:10.935000,419.4,420.88,414.8,417.0,nan,417.79,271679,113504886680.0,242530,419.42,6,419.36,2,419.44,5,419.34,12,419.46,7,419.32,92,419.48,4,419.3,3,419.5,10,419.28,14
1597988231124741120,1597988231436999936,2020-08-21 13:37:11.437000,419.4,420.88,414.8,417.0,nan,417.79,271680,113505306080.0,242530,419.4,2,419.36,2,419.42,6,419.34,12,419.44,5,419.32,92,419.46,7,419.3,3,419.48,4,419.28,14
1597988231620964096,1597988231910000128,2020-08-21 13:37:11.910000,419.4,420.88,414.8,417.0,nan,417.79,271680,113505306080.0,242530,419.4,2,419.38,1,419.42,6,419.36,4,419.44,5,419.34,12,419.46,7,419.32,92,419.48,4,419.3,3
1597988232113067008,1597988232423000064,2020-08-21 13:37:12.423000,419.4,420.88,414.8,417.0,nan,417.79,271682,113506144860.0,242531,419.4,3,419.36,4,419.42,6,419.34,12,419.44,5,419.32,92,419.46,7,419.3,3,419.48,4,419.28,14
1597988232620372992,1597988232932000000,2020-08-21 13:37:12.932000,419.4,420.88,414.8,417.0,nan,417.79,271683,113506564260.0,242530,419.4,2,419.38,1,419.42,6,419.36,6,419.44,5,419.34,11,419.46,7,419.32,93,419.48,3,419.3,3
1597988233119949056,1597988233405999872,2020-08-21 13:37:13.406000,419.4,420.88,414.8,417.0,nan,417.79,271683,113506564260.0,242530,419.42,6,419.38,1,419.44,5,419.36,6,419.46,7,419.34,10,419.48,3,419.32,93,419.5,10,419.3,3
1597988233617218048,1597988233912000000,2020-08-21 13:37:13.912000,419.4,420.88,414.8,417.0,nan,417.79,271683,113506564260.0,242530,419.42,6,419.38,3,419.44,5,419.36,6,419.46,7,419.34,10,419.48,3,419.32,93,419.5,10,419.3,3
1597988234140201984,1597988234427000064,2020-08-21 13:37:14.427000,419.4,420.88,414.8,417.0,nan,417.79,271684,113506983660.0,242531,419.42,6,419.38,3,419.44,5,419.36,6,419.46,7,419.34,10,419.48,3,419.32,93,419.5,10,419.3,3
1597988234623429888,1597988234937999872,2020-08-21 13:37:14.938000,419.38,420.88,414.8,417.0,nan,417.79,271685,113507403040.0,242531,419.42,6,419.38,3,419.44,5,419.36,6,419.46,7,419.34,10,419.48,3,419.32,93,419.5,10,419.3,3
1597988235130456064,1597988235413000192,2020-08-21 13:37:15.413000,419.38,420.88,414.8,417.0,nan,417.79,271685,113507403040.0,242531,419.42,6,419.38,3,419.44,5,419.36,6,419.46,7,419.34,10,419.48,4,419.32,93,419.5,10,419.3,3
1597988235624325120,1597988235905999872,2020-08-21 13:37:15.906000,419.38,420.88,414.8,417.0,nan,417.79,271686,113507822420.0,242532,419.42,6,419.38,3,419.44,5,419.36,6,419.46,7,419.34,10,419.48,5,419.32,93,419.5,10,419.3,3
1597988236114268928,1597988236432000000,2020-08-21 13:37:16.432000,419.38,420.88,414.8,417.0,nan,417.791,271691,113509919320.0,242530,419.42,7,419.36,6,419.44,5,419.34,10,419.46,7,419.32,93,419.48,5,419.3,3,419.5,10,419.28,14
1597988236617924096,1597988236918999808,2020-08-21 13:37:16.919000,419.36,420.88,414.8,417.0,nan,417.791,271695,113511596760.0,242528,419.4,28,419.36,2,419.42,7,419.34,10,419.44,5,419.32,93,419.46,7,419.3,3,419.48,5,419.28,14
1597988237112150016,1597988237435000064,2020-08-21 13:37:17.435000,419.36,420.88,414.8,417.0,nan,417.791,271697,113512435480.0,242526,419.38,2,419.34,9,419.4,30,419.32,93,419.42,7,419.3,3,419.44,5,419.28,14,419.46,7,419.26,3
1597988237626670080,1597988237934000128,2020-08-21 13:37:17.934000,419.34,420.88,414.8,417.0,nan,417.791,271706,113516209580.0,242527,419.34,3,419.32,93,419.38,2,419.3,3,419.4,31,419.28,14,419.42,7,419.26,3,419.44,5,419.24,2
1597988238113779968,1597988238430000128,2020-08-21 13:37:18.430000,419.32,420.88,414.8,417.0,nan,417.791,271715,113519983560.0,242529,419.38,2,419.34,2,419.4,31,419.32,92,419.42,7,419.3,3,419.44,6,419.28,14,419.46,7,419.26,3
1597988238621463040,1597988238932000000,2020-08-21 13:37:18.932000,419.32,420.88,414.8,417.0,nan,417.791,271715,113519983560.0,242529,419.38,6,419.34,2,419.4,31,419.32,92,419.42,7,419.3,3,419.44,6,419.28,14,419.46,7,419.26,3
1597988239114309120,1597988239420999936,2020-08-21 13:37:19.421000,419.32,420.88,414.8,417.0,nan,417.791,271715,113519983560.0,242529,419.36,1,419.34,2,419.38,7,419.32,92,419.4,31,419.3,3,419.42,7,419.28,14,419.44,6,419.26,3
1597988239614744064,1597988239932000000,2020-08-21 13:37:19.932000,419.38,420.88,414.8,417.0,nan,417.791,271720,113522080340.0,242530,419.38,6,419.32,92,419.4,31,419.3,3,419.42,7,419.28,34,419.44,7,419.26,3,419.46,7,419.24,2
1597988240124653056,1597988240416999936,2020-08-21 13:37:20.417000,419.36,420.88,414.8,417.0,nan,417.791,271721,113522499700.0,242530,419.36,1,419.34,2,419.38,7,419.32,93,419.4,31,419.3,3,419.42,7,419.28,35,419.44,7,419.26,3
1597988240608897024,1597988240916000000,2020-08-21 13:37:20.916000,419.38,420.88,414.8,417.0,nan,417.791,271722,113522919080.0,242530,419.38,6,419.32,93,419.4,31,419.3,3,419.42,7,419.28,35,419.44,7,419.26,3,419.46,7,419.24,2
1597988241125842944,1597988241423000064,2020-08-21 13:37:21.423000,419.34,420.88,414.8,417.0,nan,417.791,271727,113525015780.0,242527,419.36,3,419.34,1,419.38,6,419.32,93,419.4,31,419.3,3,419.42,7,419.28,35,419.44,7,419.26,3
1597988241630430976,1597988241936000000,2020-08-21 13:37:21.936000,419.34,420.88,414.8,417.0,nan,417.791,271728,113525435120.0,242526,419.36,5,419.32,93,419.38,6,419.3,3,419.4,31,419.28,35,419.42,7,419.26,3,419.44,7,419.24,5
1597988242646558976,1597988242935000064,2020-08-21 13:37:22.935000,419.36,420.88,414.8,417.0,nan,417.791,271729,113525854480.0,242526,419.36,4,419.32,94,419.38,6,419.3,3,419.4,31,419.28,35,419.42,7,419.26,3,419.44,7,419.24,5
1597988243118018048,1597988243432000000,2020-08-21 13:37:23.432000,419.32,420.88,414.8,417.0,nan,417.791,271730,113526273800.0,242526,419.36,5,419.32,92,419.38,6,419.3,3,419.4,31,419.28,34,419.42,7,419.26,3,419.44,7,419.24,5
1597988243629317120,1597988243917999872,2020-08-21 13:37:23.918000,419.32,420.88,414.8,417.0,nan,417.791,271730,113526273800.0,242526,419.36,5,419.32,94,419.38,6,419.3,3,419.4,31,419.28,34,419.42,7,419.26,3,419.44,7,419.24,5
1597988244110736896,1597988244433000192,2020-08-21 13:37:24.433000,419.32,420.88,414.8,417.0,nan,417.791,271731,113526693120.0,242526,419.36,5,419.32,93,419.38,6,419.3,3,419.4,31,419.28,34,419.42,7,419.26,3,419.44,7,419.24,5
1597988244626345984,1597988244932000000,2020-08-21 13:37:24.932000,419.36,420.88,414.8,417.0,nan,417.791,271732,113527112480.0,242526,419.36,4,419.32,94,419.38,6,419.3,3,419.4,31,419.28,34,419.42,8,419.26,3,419.44,7,419.24,5
1597988245132180992,1597988245427000064,2020-08-21 13:37:25.427000,419.32,420.88,414.8,417.0,nan,417.791,271733,113527531800.0,242526,419.36,4,419.32,92,419.38,4,419.3,3,419.4,31,419.28,34,419.42,8,419.26,3,419.44,7,419.24,5
1597988245624346880,1597988245882999808,2020-08-21 13:37:25.883000,419.32,420.88,414.8,417.0,nan,417.791,271733,113527531800.0,242526,419.36,4,419.34,1,419.38,4,419.32,91,419.4,31,419.3,3,419.42,8,419.28,34,419.44,7,419.26,3
1597988246151075072,1597988246423000064,2020-08-21 13:37:26.423000,419.34,420.88,414.8,417.0,nan,417.791,271734,113527951140.0,242525,419.36,4,419.32,91,419.38,4,419.3,3,419.4,31,419.28,34,419.42,8,419.26,3,419.44,7,419.24,5
1597988246656755968,1597988246932000000,2020-08-21 13:37:26.932000,419.32,420.88,414.8,417.0,nan,417.791,271737,113529209140.0,242526,419.36,3,419.32,89,419.38,4,419.3,3,419.4,31,419.28,35,419.42,8,419.26,3,419.44,7,419.24,5
1597988247124395008,1597988247436999936,2020-08-21 13:37:27.437000,419.32,420.88,414.8,417.0,nan,417.791,271737,113529209140.0,242526,419.36,3,419.34,1,419.38,4,419.32,89,419.4,31,419.3,3,419.42,8,419.28,34,419.44,7,419.26,3
1597988247622780928,1597988247912000000,2020-08-21 13:37:27.912000,419.34,420.88,414.8,417.0,nan,417.791,271738,113529628480.0,242527,419.36,3,419.34,1,419.38,4,419.32,89,419.4,31,419.3,4,419.42,8,419.28,34,419.44,7,419.26,3
1597988248147059968,1597988248420999936,2020-08-21 13:37:28.421000,419.36,420.88,414.8,417.0,nan,417.791,271740,113530467180.0,242528,419.36,2,419.32,89,419.38,4,419.3,4,419.4,31,419.28,34,419.42,8,419.26,3,419.44,5,419.24,5
1597988248634876928,1597988248938999808,2020-08-21 13:37:28.939000,419.36,420.88,414.8,417.0,nan,417.791,271741,113530886540.0,242528,419.36,1,419.34,2,419.38,4,419.32,89,419.4,31,419.3,4,419.42,8,419.28,34,419.44,5,419.26,3
1597988249113661952,1597988249420000000,2020-08-21 13:37:29.420000,419.36,420.88,414.8,417.0,nan,417.791,271745,113532563900.0,242528,419.36,1,419.32,89,419.38,4,419.3,4,419.4,31,419.28,34,419.42,8,419.26,3,419.44,5,419.24,5
1597988249611770112,1597988249930000128,2020-08-21 13:37:29.930000,419.36,420.88,414.8,417.0,nan,417.791,271746,113532983260.0,242529,419.38,4,419.32,89,419.4,37,419.3,4,419.42,8,419.28,34,419.44,5,419.26,3,419.46,6,419.24,5
1597988250137568000,1597988250435000064,2020-08-21 13:37:30.435000,419.36,420.88,414.8,417.0,nan,417.791,271746,113532983260.0,242529,419.36,1,419.32,89,419.38,4,419.3,4,419.4,37,419.28,34,419.42,8,419.26,3,419.44,5,419.24,5
1597988250628641024,1597988250933000192,2020-08-21 13:37:30.933000,419.36,420.88,414.8,417.0,nan,417.791,271747,113533402620.0,242530,419.38,4,419.32,89,419.4,37,419.3,4,419.42,8,419.28,34,419.44,5,419.26,3,419.46,6,419.24,5
1597988251128701952,1597988251436000000,2020-08-21 13:37:31.436000,419.36,420.88,414.8,417.0,nan,417.791,271747,113533402620.0,242530,419.38,3,419.34,1,419.4,37,419.32,89,419.42,8,419.3,4,419.44,6,419.28,34,419.46,6,419.26,3
1597988251611776000,1597988251914000128,2020-08-21 13:37:31.914000,419.38,420.88,414.8,417.0,nan,417.791,271751,113535080100.0,242529,419.4,37,419.38,3,419.42,8,419.34,1,419.44,6,419.32,89,419.46,6,419.3,4,419.48,4,419.28,34
1597988252116784896,1597988252421999872,2020-08-21 13:37:32.422000,419.32,420.88,414.8,417.0,nan,417.791,271759,113538434980.0,242528,419.38,9,419.32,87,419.4,37,419.3,4,419.42,8,419.28,34,419.44,6,419.26,3,419.46,6,419.24,5
1597988252608790016,1597988252933000192,2020-08-21 13:37:32.933000,419.36,420.88,414.8,417.0,nan,417.791,271760,113538854340.0,242528,419.38,9,419.34,2,419.4,37,419.32,87,419.42,8,419.3,4,419.44,6,419.28,34,419.46,6,419.26,3
1597988253109696000,1597988253424000000,2020-08-21 13:37:33.424000,419.34,420.88,414.8,417.0,nan,417.791,271762,113539693020.0,242528,419.38,9,419.32,87,419.4,31,419.3,4,419.42,8,419.28,34,419.44,6,419.26,3,419.46,6,419.24,5
1597988253610979072,1597988253898999808,2020-08-21 13:37:33.899000,419.38,420.88,414.8,417.0,nan,417.791,271765,113540951140.0,242527,419.38,7,419.34,1,419.4,32,419.32,87,419.42,8,419.3,4,419.44,6,419.28,34,419.46,6,419.26,3
1597988254116227072,1597988254438999808,2020-08-21 13:37:34.439000,419.38,420.88,414.8,417.0,nan,417.791,271765,113540951140.0,242527,419.38,7,419.34,3,419.4,32,419.32,87,419.42,8,419.3,4,419.44,6,419.28,34,419.46,6,419.26,3
1597988254621253888,1597988254935000064,2020-08-21 13:37:34.935000,419.38,420.88,414.8,417.0,nan,417.791,271766,113541370520.0,242528,419.38,6,419.34,3,419.4,32,419.32,87,419.42,8,419.3,4,419.44,6,419.28,34,419.46,6,419.26,3
1597988255616361984,1597988255931000064,2020-08-21 13:37:35.931000,419.38,420.88,414.8,417.0,nan,417.791,271767,113541789900.0,242529,419.38,5,419.34,3,419.4,32,419.32,87,419.42,8,419.3,4,419.44,6,419.28,33,419.46,6,419.26,3
1597988256111208960,1597988256426000128,2020-08-21 13:37:36.426000,419.38,420.88,414.8,417.0,nan,417.791,271767,113541789900.0,242529,419.36,1,419.34,4,419.38,7,419.32,87,419.4,32,419.3,4,419.42,8,419.28,33,419.44,6,419.26,3
1597988256638198016,1597988256924999936,2020-08-21 13:37:36.925000,419.34,420.88,414.8,417.0,nan,417.791,271769,113542628600.0,242527,419.38,7,419.34,3,419.4,32,419.32,87,419.42,8,419.3,4,419.44,6,419.28,33,419.46,6,419.26,3
1597988257115984896,1597988257427000064,2020-08-21 13:37:37.427000,419.34,420.88,414.8,417.0,nan,417.791,271769,113542628600.0,242527,419.36,2,419.34,3,419.38,9,419.32,87,419.4,32,419.3,4,419.42,8,419.28,33,419.44,6,419.26,3
1597988257613039104,1597988257933000192,2020-08-21 13:37:37.933000,419.36,420.88,414.8,417.0,nan,417.791,271773,113544305980.0,242528,419.36,1,419.32,87,419.38,9,419.3,4,419.4,32,419.28,33,419.42,8,419.26,3,419.44,6,419.24,5
1597988258111179008,1597988258416999936,2020-08-21 13:37:38.417000,419.36,420.88,414.8,417.0,nan,417.791,271773,113544305980.0,242528,419.36,1,419.32,87,419.38,10,419.3,4,419.4,32,419.28,33,419.42,8,419.26,3,419.44,6,419.24,5
1597988259123516928,1597988259405999872,2020-08-21 13:37:39.406000,419.36,420.88,414.8,417.0,nan,417.791,271774,113544725340.0,242528,419.38,10,419.36,2,419.4,32,419.32,87,419.42,8,419.3,4,419.44,6,419.28,33,419.46,6,419.26,3
1597988259625413120,1597988259921999872,2020-08-21 13:37:39.922000,419.38,420.88,414.8,417.0,nan,417.791,271786,113549757860.0,242537,419.4,32,419.38,6,419.42,8,419.32,87,419.44,6,419.3,4,419.46,6,419.28,33,419.48,4,419.26,3
1597988260121257984,1597988260427000064,2020-08-21 13:37:40.427000,419.38,420.88,414.8,417.0,nan,417.791,271792,113552274140.0,242538,419.38,3,419.34,1,419.4,31,419.32,87,419.42,8,419.3,4,419.44,6,419.28,33,419.46,6,419.26,3
1597988260617422080,1597988260932000000,2020-08-21 13:37:40.932000,419.38,420.88,414.8,417.0,nan,417.791,271793,113552693520.0,242538,419.38,6,419.34,3,419.4,31,419.32,88,419.42,8,419.3,4,419.44,6,419.28,33,419.46,6,419.26,3
1597988261147731968,1597988261436000000,2020-08-21 13:37:41.436000,419.38,420.88,414.8,417.0,nan,417.791,271806,113558145240.0,242544,419.36,1,419.34,4,419.4,31,419.32,88,419.42,8,419.3,4,419.44,6,419.28,33,419.46,6,419.26,3
1597988261605051904,1597988261931000064,2020-08-21 13:37:41.931000,419.36,420.88,414.8,417.0,nan,417.791,271807,113558564600.0,242543,419.4,39,419.36,1,419.42,8,419.34,4,419.44,6,419.32,88,419.46,6,419.3,4,419.48,4,419.28,33
1597988262115857920,1597988262435000064,2020-08-21 13:37:42.435000,419.4,420.88,414.8,417.0,nan,417.791,271811,113560242140.0,242543,419.38,1,419.36,1,419.4,39,419.34,4,419.42,8,419.32,88,419.44,6,419.3,4,419.46,6,419.28,33
1597988262627162112,1597988262910000128,2020-08-21 13:37:42.910000,419.38,420.88,414.8,417.0,nan,417.791,271813,113561080880.0,242542,419.4,41,419.36,2,419.42,8,419.34,5,419.44,6,419.32,88,419.46,6,419.3,4,419.48,4,419.28,33
1597988263107904000,1597988263379000064,2020-08-21 13:37:43.379000,419.38,420.88,414.8,417.0,nan,417.791,271813,113561080880.0,242542,419.38,2,419.36,3,419.4,41,419.34,8,419.42,8,419.32,88,419.44,6,419.3,4,419.46,6,419.28,33
1597988264119337984,1597988264433000192,2020-08-21 13:37:44.433000,419.38,420.88,414.8,417.0,nan,417.791,271813,113561080880.0,242542,419.38,2,419.36,3,419.4,41,419.34,8,419.42,8,419.32,88,419.44,6,419.3,4,419.46,7,419.28,33
1597988264607482880,1597988264935000064,2020-08-21 13:37:44.935000,419.38,420.88,414.8,417.0,nan,417.791,271813,113561080880.0,242542,419.38,2,419.36,3,419.4,41,419.34,8,419.42,8,419.32,87,419.44,6,419.3,4,419.46,7,419.28,33
1597988265117851904,1597988265413000192,2020-08-21 13:37:45.413000,419.36,420.88,414.8,417.0,nan,417.791,271814,113561500240.0,242543,419.38,2,419.36,3,419.4,41,419.34,8,419.42,8,419.32,87,419.44,6,419.3,4,419.46,7,419.28,33
1597988265610838016,1597988265935000064,2020-08-21 13:37:45.935000,419.36,420.88,414.8,417.0,nan,417.791,271814,113561500240.0,242543,419.38,2,419.36,3,419.4,42,419.34,8,419.42,8,419.32,86,419.44,6,419.3,4,419.46,7,419.28,34
1597988266144496896,1597988266424999936,2020-08-21 13:37:46.425000,419.36,420.88,414.8,417.0,nan,417.791,271814,113561500240.0,242543,419.38,7,419.36,4,419.4,42,419.34,8,419.42,8,419.32,86,419.44,6,419.3,4,419.46,7,419.28,34
1597988267136591872,1597988267416999936,2020-08-21 13:37:47.417000,419.36,420.88,414.8,417.0,nan,417.791,271814,113561500240.0,242543,419.38,8,419.36,4,419.4,42,419.34,8,419.42,8,419.32,86,419.44,6,419.3,4,419.46,6,419.28,34
1597988267619649024,1597988267938999808,2020-08-21 13:37:47.939000,419.34,420.88,414.8,417.0,nan,417.791,271820,113564016340.0,242539,419.38,10,419.34,6,419.4,42,419.32,87,419.42,8,419.3,4,419.44,6,419.28,34,419.46,6,419.26,3
1597988268132502016,1597988268428999936,2020-08-21 13:37:48.429000,419.34,420.88,414.8,417.0,nan,417.791,271820,113564016340.0,242539,419.36,1,419.34,6,419.38,11,419.32,87,419.4,43,419.3,4,419.42,8,419.28,34,419.44,6,419.26,3
1597988268615104000,1597988268924999936,2020-08-21 13:37:48.925000,419.34,420.88,414.8,417.0,nan,417.791,271820,113564016340.0,242539,419.36,3,419.34,7,419.38,11,419.32,87,419.4,43,419.3,4,419.42,8,419.28,34,419.44,6,419.26,3
