local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988230208463104,1597988230432000000,2020-08-21 13:37:10.432000,115930.0,116920.0,114770.0,116850.0,nan,115706.650303,181503,21001104150.0,107038,115930.0,2,115920.0,4,115940.0,19,115910.0,9,115950.0,11,115900.0,15,115960.0,5,115890.0,7,115970.0,6,115880.0,22
1597988230623873024,1597988230935000064,2020-08-21 13:37:10.935000,115930.0,116920.0,114770.0,116850.0,nan,115706.651534,181504,21001220080.0,107039,115930.0,1,115920.0,4,115940.0,19,115910.0,9,115950.0,11,115900.0,15,115960.0,5,115890.0,7,115970.0,6,115880.0,22
1597988231155977984,1597988231436999936,2020-08-21 13:37:11.437000,115930.0,116920.0,114770.0,116850.0,nan,115706.653995,181506,21001451940.0,107040,115940.0,19,115930.0,1,115950.0,11,115920.0,4,115960.0,5,115910.0,9,115970.0,5,115900.0,15,115980.0,5,115890.0,3
1597988231631752960,1597988231910000128,2020-08-21 13:37:11.910000,115930.0,116920.0,114770.0,116850.0,nan,115706.655225,181507,21001567870.0,107041,115940.0,19,115930.0,1,115950.0,11,115920.0,4,115960.0,5,115910.0,9,115970.0,5,115900.0,15,115980.0,5,115890.0,3
1597988232139641088,1597988232423000064,2020-08-21 13:37:12.423000,115930.0,116920.0,114770.0,116850.0,nan,115706.657686,181509,21001799730.0,107040,115930.0,4,115920.0,4,115940.0,19,115910.0,9,115950.0,11,115900.0,15,115960.0,5,115890.0,3,115970.0,5,115880.0,22
1597988232624449024,1597988232932000000,2020-08-21 13:37:12.932000,115920.0,116920.0,114770.0,116850.0,nan,115706.662388,181513,21002263410.0,107040,115930.0,4,115910.0,9,115940.0,19,115900.0,15,115950.0,11,115890.0,3,115960.0,5,115880.0,22,115970.0,5,115870.0,8
1597988233120614912,1597988233405999872,2020-08-21 13:37:13.406000,115920.0,116920.0,114770.0,116850.0,nan,115706.662388,181513,21002263410.0,107040,115920.0,7,115910.0,10,115930.0,9,115900.0,15,115940.0,19,115890.0,2,115950.0,11,115880.0,22,115960.0,5,115870.0,8
1597988233632541952,1597988233912000000,2020-08-21 13:37:13.912000,115930.0,116920.0,114770.0,116850.0,nan,115706.685506,181533,21004581740.0,107046,115930.0,3,115900.0,15,115940.0,19,115890.0,2,115950.0,11,115880.0,22,115960.0,5,115870.0,8,115970.0,5,115860.0,8
1597988234133391104,1597988234427000064,2020-08-21 13:37:14.427000,115930.0,116920.0,114770.0,116850.0,nan,115706.700267,181545,21005972900.0,107049,115940.0,19,115930.0,8,115950.0,11,115910.0,8,115960.0,5,115900.0,15,115970.0,5,115890.0,2,115980.0,5,115880.0,22
1597988234633128960,1597988234937999872,2020-08-21 13:37:14.938000,115930.0,116920.0,114770.0,116850.0,nan,115706.710107,181553,21006900340.0,107049,115930.0,1,115910.0,8,115940.0,20,115900.0,15,115950.0,11,115890.0,2,115960.0,5,115880.0,22,115970.0,5,115870.0,8
1597988235134537984,1597988235413000192,2020-08-21 13:37:15.413000,115930.0,116920.0,114770.0,116850.0,nan,115706.710107,181553,21006900340.0,107049,115930.0,2,115910.0,8,115940.0,17,115900.0,15,115950.0,11,115890.0,2,115960.0,5,115880.0,22,115970.0,5,115870.0,8
1597988235626702080,1597988235905999872,2020-08-21 13:37:15.906000,115930.0,116920.0,114770.0,116850.0,nan,115706.711337,181554,21007016270.0,107050,115930.0,2,115910.0,8,115940.0,17,115900.0,15,115950.0,11,115890.0,2,115960.0,5,115880.0,22,115970.0,5,115870.0,8
1597988236616203008,1597988236918999808,2020-08-21 13:37:16.919000,115910.0,116920.0,114770.0,116850.0,nan,115706.712456,181555,21007132180.0,107049,115930.0,2,115910.0,7,115940.0,17,115900.0,15,115950.0,11,115890.0,2,115960.0,5,115880.0,22,115970.0,5,115870.0,8
1597988237139386880,1597988237435000064,2020-08-21 13:37:17.435000,115930.0,116920.0,114770.0,116850.0,nan,115706.714916,181557,21007364040.0,107050,115940.0,17,115920.0,1,115950.0,11,115910.0,7,115960.0,5,115900.0,15,115970.0,5,115890.0,2,115980.0,5,115880.0,22
1597988237625840128,1597988237934000128,2020-08-21 13:37:17.934000,115930.0,116920.0,114770.0,116850.0,nan,115706.714916,181557,21007364040.0,107050,115930.0,1,115920.0,3,115940.0,17,115910.0,7,115950.0,12,115900.0,16,115960.0,5,115890.0,2,115970.0,5,115880.0,22
1597988238148352000,1597988238430000128,2020-08-21 13:37:18.430000,115920.0,116920.0,114770.0,116850.0,nan,115706.71844,181560,21007711800.0,107052,115930.0,1,115910.0,7,115940.0,17,115900.0,16,115950.0,12,115890.0,2,115960.0,5,115880.0,22,115970.0,5,115870.0,8
1597988238624417024,1597988238932000000,2020-08-21 13:37:18.932000,115920.0,116920.0,114770.0,116850.0,nan,115706.71844,181560,21007711800.0,107052,115930.0,5,115920.0,1,115940.0,17,115910.0,7,115950.0,12,115900.0,16,115960.0,5,115890.0,2,115970.0,5,115880.0,22
1597988239116462080,1597988239420999936,2020-08-21 13:37:19.421000,115910.0,116920.0,114770.0,116850.0,nan,115706.727452,181568,21008639090.0,107046,115920.0,3,115900.0,16,115930.0,8,115890.0,2,115940.0,17,115880.0,22,115950.0,12,115870.0,7,115960.0,5,115860.0,8
