local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988231155685888,1597988231436999936,2020-08-21 13:37:11.437000,16055.0,16100.0,15955.0,16085.0,nan,16023.764984,18854,1510560325.0,23789,16055.0,12,16050.0,85,16060.0,11,16045.0,4,16065.0,7,16040.0,3,16070.0,10,16035.0,16,16075.0,181,16030.0,36
1597988231631457024,1597988231910000128,2020-08-21 13:37:11.910000,16055.0,16100.0,15955.0,16085.0,nan,16023.764984,18854,1510560325.0,23789,16055.0,13,16050.0,85,16060.0,11,16045.0,4,16065.0,7,16040.0,3,16070.0,10,16035.0,16,16075.0,181,16030.0,32
1597988232139323904,1597988232423000064,2020-08-21 13:37:12.423000,16045.0,16100.0,15955.0,16085.0,nan,16023.883844,18940,1517461800.0,23771,16050.0,2,16045.0,63,16055.0,15,16040.0,3,16060.0,11,16035.0,16,16065.0,7,16030.0,32,16070.0,10,16025.0,6
1597988232624005120,1597988232932000000,2020-08-21 13:37:12.932000,16050.0,16100.0,15955.0,16085.0,nan,16023.906003,18958,1518906050.0,23765,16055.0,15,16045.0,54,16060.0,11,16040.0,3,16065.0,7,16035.0,11,16070.0,10,16030.0,36,16075.0,181,16025.0,6
1597988233120292096,1597988233405999872,2020-08-21 13:37:13.406000,16050.0,16100.0,15955.0,16085.0,nan,16023.906003,18958,1518906050.0,23765,16050.0,11,16045.0,54,16055.0,17,16040.0,3,16060.0,11,16035.0,12,16065.0,7,16030.0,36,16070.0,9,16025.0,6
1597988233631898880,1597988233912000000,2020-08-21 13:37:13.912000,16050.0,16100.0,15955.0,16085.0,nan,16023.906003,18958,1518906050.0,23765,16050.0,6,16045.0,54,16055.0,23,16040.0,4,16060.0,12,16035.0,11,16065.0,8,16030.0,36,16070.0,8,16025.0,6
1597988234632834048,1597988234937999872,2020-08-21 13:37:14.938000,16050.0,16100.0,15955.0,16085.0,nan,16023.914259,18964,1519387550.0,23763,16055.0,23,16045.0,54,16060.0,12,16040.0,4,16065.0,8,16035.0,11,16070.0,8,16030.0,36,16075.0,181,16025.0,6
1597988235134054912,1597988235413000192,2020-08-21 13:37:15.413000,16050.0,16100.0,15955.0,16085.0,nan,16023.914259,18964,1519387550.0,23763,16055.0,16,16050.0,2,16060.0,12,16045.0,54,16065.0,8,16040.0,6,16070.0,8,16035.0,11,16075.0,181,16030.0,36
1597988235626343936,1597988235905999872,2020-08-21 13:37:15.906000,16050.0,16100.0,15955.0,16085.0,nan,16023.914259,18964,1519387550.0,23763,16055.0,17,16050.0,4,16060.0,10,16045.0,55,16065.0,8,16040.0,6,16070.0,8,16035.0,11,16075.0,181,16030.0,36
1597988236118159104,1597988236432000000,2020-08-21 13:37:16.432000,16050.0,16100.0,15955.0,16085.0,nan,16023.914259,18964,1519387550.0,23763,16055.0,17,16050.0,2,16060.0,10,16045.0,55,16065.0,8,16040.0,6,16070.0,8,16035.0,11,16075.0,181,16030.0,36
