local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988230135538944,1597988230000000000,2020-08-21 13:37:10.000000,6150.0,6188.0,6052.0,6138.0,nan,6118.125702,2241912,205744491420.0,590914,6150.0,17,6149.0,74,6151.0,162,6148.0,131,6152.0,231,6147.0,208,6153.0,132,6146.0,186,6154.0,86,6145.0,312
1597988230607462912,1597988230500000000,2020-08-21 13:37:10.500000,6150.0,6188.0,6052.0,6138.0,nan,6118.125986,2241932,205746336420.0,590927,6150.0,1,6149.0,76,6151.0,162,6148.0,131,6152.0,231,6147.0,208,6153.0,132,6146.0,185,6154.0,86,6145.0,312
1597988231147063040,1597988231000000000,2020-08-21 13:37:11.000000,6150.0,6188.0,6052.0,6138.0,nan,6118.126071,2241938,205746889920.0,590926,6151.0,162,6150.0,22,6152.0,231,6149.0,76,6153.0,132,6148.0,131,6154.0,86,6147.0,208,6155.0,260,6146.0,185
1597988231612048896,1597988231500000000,2020-08-21 13:37:11.500000,6151.0,6188.0,6052.0,6138.0,nan,6118.1261,2241940,205747074435.0,590925,6151.0,161,6150.0,22,6152.0,231,6149.0,76,6153.0,132,6148.0,133,6154.0,86,6147.0,208,6155.0,260,6146.0,185
1597988232109808128,1597988232000000000,2020-08-21 13:37:12.000000,6151.0,6188.0,6052.0,6138.0,nan,6118.126201,2241947,205747720215.0,590927,6151.0,162,6150.0,25,6152.0,231,6149.0,76,6153.0,132,6148.0,133,6154.0,86,6147.0,208,6155.0,261,6146.0,185
1597988232606605056,1597988232500000000,2020-08-21 13:37:12.500000,6150.0,6188.0,6052.0,6138.0,nan,6118.126243,2241950,205747996965.0,590925,6151.0,161,6150.0,33,6152.0,231,6149.0,75,6153.0,134,6148.0,136,6154.0,86,6147.0,208,6155.0,261,6146.0,185
1597988233111676928,1597988233000000000,2020-08-21 13:37:13.000000,6151.0,6188.0,6052.0,6138.0,nan,6118.126729,2241984,205751133540.0,590929,6151.0,156,6150.0,19,6152.0,231,6149.0,75,6153.0,134,6148.0,137,6154.0,86,6147.0,208,6155.0,261,6146.0,185
1597988233612751104,1597988233500000000,2020-08-21 13:37:13.500000,6151.0,6188.0,6052.0,6138.0,nan,6118.126932,2241998,205752425175.0,590927,6151.0,151,6150.0,20,6152.0,231,6149.0,75,6153.0,134,6148.0,138,6154.0,86,6147.0,208,6155.0,261,6146.0,185
1597988234125623040,1597988234000000000,2020-08-21 13:37:14.000000,6150.0,6188.0,6052.0,6138.0,nan,6118.126975,2242001,205752701925.0,590928,6151.0,150,6150.0,26,6152.0,231,6149.0,80,6153.0,134,6148.0,138,6154.0,86,6147.0,208,6155.0,261,6146.0,185
1597988234612481024,1597988234500000000,2020-08-21 13:37:14.500000,6151.0,6188.0,6052.0,6138.0,nan,6118.127018,2242004,205752978690.0,590929,6151.0,149,6150.0,24,6152.0,231,6149.0,79,6153.0,134,6148.0,188,6154.0,86,6147.0,208,6155.0,261,6146.0,185
1597988235125812992,1597988235000000000,2020-08-21 13:37:15.000000,6151.0,6188.0,6052.0,6138.0,nan,6118.127119,2242011,205753624500.0,590928,6151.0,145,6150.0,23,6152.0,229,6149.0,78,6153.0,135,6148.0,188,6154.0,86,6147.0,209,6155.0,263,6146.0,185
1597988235619447040,1597988235500000000,2020-08-21 13:37:15.500000,6151.0,6188.0,6052.0,6138.0,nan,6118.127322,2242025,205754916150.0,590930,6151.0,138,6150.0,20,6152.0,230,6149.0,77,6153.0,135,6148.0,188,6154.0,86,6147.0,208,6155.0,264,6146.0,188
1597988236110981888,1597988236000000000,2020-08-21 13:37:16.000000,6150.0,6188.0,6052.0,6138.0,nan,6118.127393,2242030,205755377400.0,590927,6151.0,140,6150.0,15,6152.0,231,6149.0,77,6153.0,135,6148.0,188,6154.0,86,6147.0,208,6155.0,264,6146.0,188
1597988236608940032,1597988236500000000,2020-08-21 13:37:16.500000,6150.0,6188.0,6052.0,6138.0,nan,6118.127393,2242030,205755377400.0,590927,6151.0,140,6150.0,16,6152.0,235,6149.0,77,6153.0,135,6148.0,188,6154.0,86,6147.0,208,6155.0,264,6146.0,188
1597988237128545024,1597988237000000000,2020-08-21 13:37:17.000000,6150.0,6188.0,6052.0,6138.0,nan,6118.127393,2242030,205755377400.0,590927,6151.0,140,6150.0,17,6152.0,234,6149.0,77,6153.0,135,6148.0,189,6154.0,86,6147.0,207,6155.0,264,6146.0,189
1597988237618088960,1597988237500000000,2020-08-21 13:37:17.500000,6150.0,6188.0,6052.0,6138.0,nan,6118.127764,2242056,205757775930.0,590912,6150.0,5,6149.0,78,6151.0,151,6148.0,189,6152.0,234,6147.0,204,6153.0,135,6146.0,189,6154.0,86,6145.0,315
1597988238106306048,1597988238000000000,2020-08-21 13:37:18.000000,6150.0,6188.0,6052.0,6138.0,nan,6118.12819,2242086,205760543430.0,590934,6150.0,3,6149.0,77,6151.0,146,6148.0,189,6152.0,235,6147.0,204,6153.0,135,6146.0,189,6154.0,86,6145.0,315
1597988238617228032,1597988238500000000,2020-08-21 13:37:18.500000,6150.0,6188.0,6052.0,6138.0,nan,6118.12829,2242093,205761189165.0,590928,6150.0,10,6149.0,76,6151.0,147,6148.0,190,6152.0,235,6147.0,204,6153.0,135,6146.0,189,6154.0,86,6145.0,315
1597988239111174912,1597988239000000000,2020-08-21 13:37:19.000000,6150.0,6188.0,6052.0,6138.0,nan,6118.128361,2242098,205761650415.0,590931,6150.0,17,6149.0,77,6151.0,148,6148.0,191,6152.0,237,6147.0,204,6153.0,135,6146.0,189,6154.0,86,6145.0,316
