local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988230136936960,1597988230000000000,2020-08-21 13:37:10.000000,14755.0,14985.0,14720.0,14780.0,nan,14842.993048,108600,8059745225.0,115066,14755.0,53,14750.0,67,14760.0,46,14745.0,312,14765.0,16,14740.0,378,14770.0,123,14735.0,300,14775.0,41,14730.0,205
1597988231147757056,1597988231000000000,2020-08-21 13:37:11.000000,14755.0,14985.0,14720.0,14780.0,nan,14842.992238,108601,8059819000.0,115067,14755.0,55,14750.0,67,14760.0,46,14745.0,312,14765.0,16,14740.0,378,14770.0,123,14735.0,300,14775.0,41,14730.0,205
1597988231614035968,1597988231500000000,2020-08-21 13:37:11.500000,14755.0,14985.0,14720.0,14780.0,nan,14842.987377,108607,8060261650.0,115067,14755.0,51,14750.0,67,14760.0,46,14745.0,312,14765.0,16,14740.0,378,14770.0,123,14735.0,300,14775.0,41,14730.0,205
1597988232110661888,1597988232000000000,2020-08-21 13:37:12.000000,14755.0,14985.0,14720.0,14780.0,nan,14842.987377,108607,8060261650.0,115067,14755.0,51,14750.0,62,14760.0,46,14745.0,312,14765.0,16,14740.0,378,14770.0,123,14735.0,300,14775.0,41,14730.0,205
1597988233112361984,1597988233000000000,2020-08-21 13:37:13.000000,14755.0,14985.0,14720.0,14780.0,nan,14842.987377,108607,8060261650.0,115067,14755.0,51,14750.0,52,14760.0,46,14745.0,312,14765.0,16,14740.0,378,14770.0,123,14735.0,300,14775.0,41,14730.0,205
1597988233613110016,1597988233500000000,2020-08-21 13:37:13.500000,14755.0,14985.0,14720.0,14780.0,nan,14842.987377,108607,8060261650.0,115067,14755.0,51,14750.0,102,14760.0,46,14745.0,262,14765.0,16,14740.0,378,14770.0,123,14735.0,300,14775.0,41,14730.0,205
1597988234126358016,1597988234000000000,2020-08-21 13:37:14.000000,14755.0,14985.0,14720.0,14780.0,nan,14842.987377,108607,8060261650.0,115067,14755.0,51,14750.0,104,14760.0,46,14745.0,262,14765.0,16,14740.0,378,14770.0,123,14735.0,300,14775.0,41,14730.0,205
1597988234613200896,1597988234500000000,2020-08-21 13:37:14.500000,14755.0,14985.0,14720.0,14780.0,nan,14842.987377,108607,8060261650.0,115067,14755.0,52,14750.0,104,14760.0,45,14745.0,262,14765.0,16,14740.0,378,14770.0,123,14735.0,300,14775.0,41,14730.0,205
1597988235126236928,1597988235000000000,2020-08-21 13:37:15.000000,14755.0,14985.0,14720.0,14780.0,nan,14842.987377,108607,8060261650.0,115067,14755.0,52,14750.0,104,14760.0,44,14745.0,262,14765.0,16,14740.0,378,14770.0,123,14735.0,300,14775.0,41,14730.0,205
1597988235619815936,1597988235500000000,2020-08-21 13:37:15.500000,14755.0,14985.0,14720.0,14780.0,nan,14842.987377,108607,8060261650.0,115067,14755.0,53,14750.0,104,14760.0,43,14745.0,262,14765.0,16,14740.0,378,14770.0,123,14735.0,300,14775.0,41,14730.0,205
