local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988230135037952,1597988230000000000,2020-08-21 13:37:10.000000,419.34,420.88,414.8,417.0,nan,417.79,271669,113500692740.0,242535,419.38,3,419.34,12,419.4,7,419.32,92,419.42,6,419.3,3,419.44,5,419.28,14,419.46,7,419.26,3
1597988230607139072,1597988230500000000,2020-08-21 13:37:10.500000,419.4,420.88,414.8,417.0,nan,417.79,271679,113504886680.0,242530,419.42,6,419.36,2,419.44,5,419.34,12,419.46,7,419.32,92,419.48,4,419.3,3,419.5,10,419.28,14
1597988231146446080,1597988231000000000,2020-08-21 13:37:11.000000,419.4,420.88,414.8,417.0,nan,417.79,271680,113505306080.0,242530,419.4,2,419.36,2,419.42,6,419.34,12,419.44,5,419.32,92,419.46,7,419.3,3,419.48,4,419.28,14
1597988231611414016,1597988231500000000,2020-08-21 13:37:11.500000,419.4,420.88,414.8,417.0,nan,417.79,271680,113505306080.0,242530,419.4,2,419.38,1,419.42,6,419.36,4,419.44,5,419.34,12,419.46,7,419.32,92,419.48,4,419.3,3
1597988232108020992,1597988232000000000,2020-08-21 13:37:12.000000,419.4,420.88,414.8,417.0,nan,417.79,271682,113506144860.0,242531,419.4,3,419.36,4,419.42,6,419.34,12,419.44,5,419.32,92,419.46,7,419.3,3,419.48,4,419.28,14
1597988232606146048,1597988232500000000,2020-08-21 13:37:12.500000,419.4,420.88,414.8,417.0,nan,417.79,271683,113506564260.0,242530,419.4,2,419.38,1,419.42,6,419.36,6,419.44,5,419.34,11,419.46,7,419.32,93,419.48,3,419.3,3
1597988233111214080,1597988233000000000,2020-08-21 13:37:13.000000,419.4,420.88,414.8,417.0,nan,417.79,271683,113506564260.0,242530,419.42,6,419.38,1,419.44,5,419.36,6,419.46,7,419.34,10,419.48,3,419.32,93,419.5,10,419.3,3
1597988233612165120,1597988233500000000,2020-08-21 13:37:13.500000,419.4,420.88,414.8,417.0,nan,417.79,271683,113506564260.0,242530,419.42,6,419.38,3,419.44,5,419.36,6,419.46,7,419.34,10,419.48,3,419.32,93,419.5,10,419.3,3
1597988234125186048,1597988234000000000,2020-08-21 13:37:14.000000,419.4,420.88,414.8,417.0,nan,417.79,271684,113506983660.0,242531,419.42,6,419.38,3,419.44,5,419.36,6,419.46,7,419.34,10,419.48,3,419.32,93,419.5,10,419.3,3
1597988234612167936,1597988234500000000,2020-08-21 13:37:14.500000,419.38,420.88,414.8,417.0,nan,417.79,271685,113507403040.0,242531,419.42,6,419.38,3,419.44,5,419.36,6,419.46,7,419.34,10,419.48,3,419.32,93,419.5,10,419.3,3
1597988235125438976,1597988235000000000,2020-08-21 13:37:15.000000,419.38,420.88,414.8,417.0,nan,417.79,271685,113507403040.0,242531,419.42,6,419.38,3,419.44,5,419.36,6,419.46,7,419.34,10,419.48,4,419.32,93,419.5,10,419.3,3
1597988235619076096,1597988235500000000,2020-08-21 13:37:15.500000,419.38,420.88,414.8,417.0,nan,417.79,271686,113507822420.0,242532,419.42,6,419.38,3,419.44,5,419.36,6,419.46,7,419.34,10,419.48,5,419.32,93,419.5,10,419.3,3
1597988236110605056,1597988236000000000,2020-08-21 13:37:16.000000,419.38,420.88,414.8,417.0,nan,417.79,271691,113509919320.0,242530,419.42,7,419.36,6,419.44,5,419.34,10,419.46,7,419.32,93,419.48,5,419.3,3,419.5,10,419.28,14
1597988236608482048,1597988236500000000,2020-08-21 13:37:16.500000,419.36,420.88,414.8,417.0,nan,417.79,271695,113511596760.0,242528,419.4,28,419.36,2,419.42,7,419.34,10,419.44,5,419.32,93,419.46,7,419.3,3,419.48,5,419.28,14
1597988237128012032,1597988237000000000,2020-08-21 13:37:17.000000,419.36,420.88,414.8,417.0,nan,417.79,271697,113512435480.0,242526,419.38,2,419.34,9,419.4,30,419.32,93,419.42,7,419.3,3,419.44,5,419.28,14,419.46,7,419.26,3
1597988237617648128,1597988237500000000,2020-08-21 13:37:17.500000,419.34,420.88,414.8,417.0,nan,417.79,271706,113516209580.0,242527,419.34,3,419.32,93,419.38,2,419.3,3,419.4,31,419.28,14,419.42,7,419.26,3,419.44,5,419.24,2
1597988238105633024,1597988238000000000,2020-08-21 13:37:18.000000,419.32,420.88,414.8,417.0,nan,417.79,271715,113519983560.0,242529,419.38,2,419.34,2,419.4,31,419.32,92,419.42,7,419.3,3,419.44,6,419.28,14,419.46,7,419.26,3
1597988238616888064,1597988238500000000,2020-08-21 13:37:18.500000,419.32,420.88,414.8,417.0,nan,417.79,271715,113519983560.0,242529,419.38,6,419.34,2,419.4,31,419.32,92,419.42,7,419.3,3,419.44,6,419.28,14,419.46,7,419.26,3
1597988239110324992,1597988239000000000,2020-08-21 13:37:19.000000,419.32,420.88,414.8,417.0,nan,417.79,271715,113519983560.0,242529,419.36,1,419.34,2,419.38,7,419.32,92,419.4,31,419.3,3,419.42,7,419.28,14,419.44,6,419.26,3
1597988239603706880,1597988239500000000,2020-08-21 13:37:19.500000,419.38,420.88,414.8,417.0,nan,417.79,271720,113522080340.0,242530,419.38,6,419.32,92,419.4,31,419.3,3,419.42,7,419.28,34,419.44,7,419.26,3,419.46,7,419.24,2
1597988240146673920,1597988240000000000,2020-08-21 13:37:20.000000,419.36,420.88,414.8,417.0,nan,417.79,271721,113522499700.0,242530,419.36,1,419.34,2,419.38,7,419.32,93,419.4,31,419.3,3,419.42,7,419.28,35,419.44,7,419.26,3
1597988240608174080,1597988240500000000,2020-08-21 13:37:20.500000,419.38,420.88,414.8,417.0,nan,417.79,271722,113522919080.0,242530,419.38,6,419.32,93,419.4,31,419.3,3,419.42,7,419.28,35,419.44,7,419.26,3,419.46,7,419.24,2
1597988241141376000,1597988241000000000,2020-08-21 13:37:21.000000,419.34,420.88,414.8,417.0,nan,417.79,271727,113525015780.0,242527,419.36,3,419.34,1,419.38,6,419.32,93,419.4,31,419.3,3,419.42,7,419.28,35,419.44,7,419.26,3
