local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988226607174912,1597988226500000000,2020-08-21 13:37:06.500000,419.4,420.88,414.8,417.0,nan,417.79,271650,113492724840.0,242533,419.4,2,419.38,2,419.42,5,419.36,6,419.44,2,419.34,18,419.46,17,419.32,92,419.48,4,419.3,2
1597988227117844992,1597988227000000000,2020-08-21 13:37:07.000000,419.4,420.88,414.8,417.0,nan,417.79,271659,113496499160.0,242531,419.4,5,419.34,18,419.42,5,419.32,92,419.44,2,419.3,2,419.46,17,419.28,14,419.48,4,419.26,3
1597988227622097920,1597988227500000000,2020-08-21 13:37:07.500000,419.34,420.88,414.8,417.0,nan,417.79,271660,113496918500.0,242531,419.4,6,419.34,17,419.42,5,419.32,91,419.44,5,419.3,2,419.46,17,419.28,14,419.48,4,419.26,3
1597988228102843904,1597988228000000000,2020-08-21 13:37:08.000000,419.34,420.88,414.8,417.0,nan,417.79,271660,113496918500.0,242531,419.38,4,419.34,17,419.4,7,419.32,91,419.42,6,419.3,2,419.44,5,419.28,14,419.46,17,419.26,3
1597988228614128896,1597988228500000000,2020-08-21 13:37:08.500000,419.38,420.88,414.8,417.0,nan,417.79,271661,113497337880.0,242531,419.38,3,419.34,17,419.4,7,419.32,91,419.42,6,419.3,2,419.44,5,419.28,14,419.46,6,419.26,3
1597988229113284096,1597988229000000000,2020-08-21 13:37:09.000000,419.36,420.88,414.8,417.0,nan,417.79,271662,113497757240.0,242532,419.38,4,419.36,1,419.4,7,419.34,17,419.42,6,419.32,91,419.44,5,419.3,2,419.46,6,419.28,14
1597988229614362112,1597988229500000000,2020-08-21 13:37:09.500000,419.34,420.88,414.8,417.0,nan,417.79,271669,113500692740.0,242535,419.38,3,419.34,12,419.4,7,419.32,91,419.42,6,419.3,2,419.44,5,419.28,14,419.46,7,419.26,3
1597988230125554944,1597988230000000000,2020-08-21 13:37:10.000000,419.34,420.88,414.8,417.0,nan,417.79,271669,113500692740.0,242535,419.38,3,419.34,12,419.4,7,419.32,92,419.42,6,419.3,3,419.44,5,419.28,14,419.46,7,419.26,3
1597988230611118080,1597988230500000000,2020-08-21 13:37:10.500000,419.4,420.88,414.8,417.0,nan,417.79,271679,113504886680.0,242530,419.42,6,419.36,2,419.44,5,419.34,12,419.46,7,419.32,92,419.48,4,419.3,3,419.5,10,419.28,14
1597988231120257024,1597988231000000000,2020-08-21 13:37:11.000000,419.4,420.88,414.8,417.0,nan,417.79,271680,113505306080.0,242530,419.4,2,419.36,2,419.42,6,419.34,12,419.44,5,419.32,92,419.46,7,419.3,3,419.48,4,419.28,14
1597988231611398912,1597988231500000000,2020-08-21 13:37:11.500000,419.4,420.88,414.8,417.0,nan,417.79,271680,113505306080.0,242530,419.4,2,419.38,1,419.42,6,419.36,4,419.44,5,419.34,12,419.46,7,419.32,92,419.48,4,419.3,3
1597988232109649920,1597988232000000000,2020-08-21 13:37:12.000000,419.4,420.88,414.8,417.0,nan,417.79,271682,113506144860.0,242531,419.4,3,419.36,4,419.42,6,419.34,12,419.44,5,419.32,92,419.46,7,419.3,3,419.48,4,419.28,14
1597988232615634944,1597988232500000000,2020-08-21 13:37:12.500000,419.4,420.88,414.8,417.0,nan,417.79,271683,113506564260.0,242530,419.4,2,419.38,1,419.42,6,419.36,6,419.44,5,419.34,11,419.46,7,419.32,93,419.48,3,419.3,3
1597988233114023936,1597988233000000000,2020-08-21 13:37:13.000000,419.4,420.88,414.8,417.0,nan,417.79,271683,113506564260.0,242530,419.42,6,419.38,1,419.44,5,419.36,6,419.46,7,419.34,10,419.48,3,419.32,93,419.5,10,419.3,3
