local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988230141189120,1597988230000000000,2020-08-21 13:37:10.000000,115930.0,116920.0,114770.0,116850.0,nan,115706.650303,181503,21001104150.0,107038,115930.0,2,115920.0,4,115940.0,19,115910.0,9,115950.0,11,115900.0,15,115960.0,5,115890.0,7,115970.0,6,115880.0,22
1597988230610718976,1597988230500000000,2020-08-21 13:37:10.500000,115930.0,116920.0,114770.0,116850.0,nan,115706.651534,181504,21001220080.0,107039,115930.0,1,115920.0,4,115940.0,19,115910.0,9,115950.0,11,115900.0,15,115960.0,5,115890.0,7,115970.0,6,115880.0,22
1597988231149692928,1597988231000000000,2020-08-21 13:37:11.000000,115930.0,116920.0,114770.0,116850.0,nan,115706.653995,181506,21001451940.0,107040,115940.0,19,115930.0,1,115950.0,11,115920.0,4,115960.0,5,115910.0,9,115970.0,5,115900.0,15,115980.0,5,115890.0,3
1597988231620834048,1597988231500000000,2020-08-21 13:37:11.500000,115930.0,116920.0,114770.0,116850.0,nan,115706.655225,181507,21001567870.0,107041,115940.0,19,115930.0,1,115950.0,11,115920.0,4,115960.0,5,115910.0,9,115970.0,5,115900.0,15,115980.0,5,115890.0,3
1597988232135993088,1597988232000000000,2020-08-21 13:37:12.000000,115930.0,116920.0,114770.0,116850.0,nan,115706.657686,181509,21001799730.0,107040,115930.0,4,115920.0,4,115940.0,19,115910.0,9,115950.0,11,115900.0,15,115960.0,5,115890.0,3,115970.0,5,115880.0,22
1597988232620572928,1597988232500000000,2020-08-21 13:37:12.500000,115920.0,116920.0,114770.0,116850.0,nan,115706.662388,181513,21002263410.0,107040,115930.0,4,115910.0,9,115940.0,19,115900.0,15,115950.0,11,115890.0,3,115960.0,5,115880.0,22,115970.0,5,115870.0,8
1597988233115066112,1597988233000000000,2020-08-21 13:37:13.000000,115920.0,116920.0,114770.0,116850.0,nan,115706.662388,181513,21002263410.0,107040,115920.0,7,115910.0,10,115930.0,9,115900.0,15,115940.0,19,115890.0,2,115950.0,11,115880.0,22,115960.0,5,115870.0,8
1597988233614595072,1597988233500000000,2020-08-21 13:37:13.500000,115930.0,116920.0,114770.0,116850.0,nan,115706.685506,181533,21004581740.0,107046,115930.0,3,115900.0,15,115940.0,19,115890.0,2,115950.0,11,115880.0,22,115960.0,5,115870.0,8,115970.0,5,115860.0,8
1597988234129147904,1597988234000000000,2020-08-21 13:37:14.000000,115930.0,116920.0,114770.0,116850.0,nan,115706.700267,181545,21005972900.0,107049,115940.0,19,115930.0,8,115950.0,11,115910.0,8,115960.0,5,115900.0,15,115970.0,5,115890.0,2,115980.0,5,115880.0,22
1597988234616425984,1597988234500000000,2020-08-21 13:37:14.500000,115930.0,116920.0,114770.0,116850.0,nan,115706.710107,181553,21006900340.0,107049,115930.0,1,115910.0,8,115940.0,20,115900.0,15,115950.0,11,115890.0,2,115960.0,5,115880.0,22,115970.0,5,115870.0,8
1597988235128958976,1597988235000000000,2020-08-21 13:37:15.000000,115930.0,116920.0,114770.0,116850.0,nan,115706.710107,181553,21006900340.0,107049,115930.0,2,115910.0,8,115940.0,17,115900.0,15,115950.0,11,115890.0,2,115960.0,5,115880.0,22,115970.0,5,115870.0,8
1597988235621620992,1597988235500000000,2020-08-21 13:37:15.500000,115930.0,116920.0,114770.0,116850.0,nan,115706.711337,181554,21007016270.0,107050,115930.0,2,115910.0,8,115940.0,17,115900.0,15,115950.0,11,115890.0,2,115960.0,5,115880.0,22,115970.0,5,115870.0,8
1597988236611835904,1597988236500000000,2020-08-21 13:37:16.500000,115910.0,116920.0,114770.0,116850.0,nan,115706.712456,181555,21007132180.0,107049,115930.0,2,115910.0,7,115940.0,17,115900.0,15,115950.0,11,115890.0,2,115960.0,5,115880.0,22,115970.0,5,115870.0,8
1597988237133818880,1597988237000000000,2020-08-21 13:37:17.000000,115930.0,116920.0,114770.0,116850.0,nan,115706.714916,181557,21007364040.0,107050,115940.0,17,115920.0,1,115950.0,11,115910.0,7,115960.0,5,115900.0,15,115970.0,5,115890.0,2,115980.0,5,115880.0,22
1597988237621050880,1597988237500000000,2020-08-21 13:37:17.500000,115930.0,116920.0,114770.0,116850.0,nan,115706.714916,181557,21007364040.0,107050,115930.0,1,115920.0,3,115940.0,17,115910.0,7,115950.0,12,115900.0,16,115960.0,5,115890.0,2,115970.0,5,115880.0,22
1597988238136457984,1597988238000000000,2020-08-21 13:37:18.000000,115920.0,116920.0,114770.0,116850.0,nan,115706.71844,181560,21007711800.0,107052,115930.0,1,115910.0,7,115940.0,17,115900.0,16,115950.0,12,115890.0,2,115960.0,5,115880.0,22,115970.0,5,115870.0,8
1597988238619426048,1597988238500000000,2020-08-21 13:37:18.500000,115920.0,116920.0,114770.0,116850.0,nan,115706.71844,181560,21007711800.0,107052,115930.0,5,115920.0,1,115940.0,17,115910.0,7,115950.0,12,115900.0,16,115960.0,5,115890.0,2,115970.0,5,115880.0,22
1597988239113683968,1597988239000000000,2020-08-21 13:37:19.000000,115910.0,116920.0,114770.0,116850.0,nan,115706.727452,181568,21008639090.0,107046,115920.0,3,115900.0,16,115930.0,8,115890.0,2,115940.0,17,115880.0,22,115950.0,12,115870.0,7,115960.0,5,115860.0,8
1597988239619709952,1597988239500000000,2020-08-21 13:37:19.500000,115910.0,116920.0,114770.0,116850.0,nan,115706.727452,181568,21008639090.0,107046,115920.0,3,115900.0,15,115930.0,8,115890.0,2,115940.0,14,115880.0,22,115950.0,12,115870.0,7,115960.0,5,115860.0,8
1597988240149125120,1597988240000000000,2020-08-21 13:37:20.000000,115910.0,116920.0,114770.0,116850.0,nan,115706.727452,181568,21008639090.0,107046,115920.0,4,115900.0,15,115930.0,5,115890.0,2,115940.0,14,115880.0,22,115950.0,12,115870.0,7,115960.0,5,115860.0,8
1597988240615654912,1597988240500000000,2020-08-21 13:37:20.500000,115910.0,116920.0,114770.0,116850.0,nan,115706.727452,181568,21008639090.0,107046,115920.0,3,115900.0,16,115930.0,5,115890.0,2,115940.0,14,115880.0,22,115950.0,12,115870.0,7,115960.0,5,115860.0,8
1597988241621928960,1597988241500000000,2020-08-21 13:37:21.500000,115900.0,116920.0,114770.0,116850.0,nan,115706.728516,181569,21008754990.0,107046,115920.0,3,115900.0,15,115930.0,5,115890.0,2,115940.0,14,115880.0,22,115950.0,12,115870.0,7,115960.0,5,115860.0,8
1597988242123616000,1597988242000000000,2020-08-21 13:37:22.000000,115900.0,116920.0,114770.0,116850.0,nan,115706.728516,181569,21008754990.0,107046,115910.0,8,115900.0,14,115920.0,6,115890.0,2,115930.0,5,115880.0,22,115940.0,14,115870.0,7,115950.0,12,115860.0,8
1597988242618456064,1597988242500000000,2020-08-21 13:37:22.500000,115900.0,116920.0,114770.0,116850.0,nan,115706.732774,181573,21009218590.0,107044,115910.0,8,115900.0,10,115920.0,6,115890.0,2,115930.0,5,115880.0,22,115940.0,14,115870.0,7,115950.0,12,115860.0,8
1597988243117188096,1597988243000000000,2020-08-21 13:37:23.000000,115900.0,116920.0,114770.0,116850.0,nan,115706.744482,181584,21010493490.0,107047,115910.0,8,115890.0,2,115920.0,6,115880.0,21,115930.0,5,115870.0,7,115940.0,14,115860.0,8,115950.0,13,115850.0,13
1597988243626491904,1597988243500000000,2020-08-21 13:37:23.500000,115900.0,116920.0,114770.0,116850.0,nan,115706.744482,181584,21010493490.0,107047,115910.0,8,115890.0,2,115920.0,6,115880.0,22,115930.0,5,115870.0,7,115940.0,14,115860.0,8,115950.0,14,115850.0,13
