local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988226609618944,1597988226500000000,2020-08-21 13:37:06.500000,115930.0,116920.0,114770.0,116850.0,nan,115706.616,181476,20997973880.0,107032,115940.0,7,115920.0,1,115950.0,11,115910.0,9,115960.0,5,115900.0,15,115970.0,6,115890.0,6,115980.0,6,115880.0,23
1597988227120026112,1597988227000000000,2020-08-21 13:37:07.000000,115940.0,116920.0,114770.0,116850.0,nan,115706.635,181491,20999712900.0,107037,115950.0,11,115940.0,7,115960.0,5,115930.0,1,115970.0,6,115920.0,3,115980.0,6,115910.0,9,115990.0,42,115900.0,15
1597988227624124928,1597988227500000000,2020-08-21 13:37:07.500000,115930.0,116920.0,114770.0,116850.0,nan,115706.645,181499,21000640410.0,107038,115940.0,21,115920.0,3,115950.0,11,115910.0,9,115960.0,5,115900.0,15,115970.0,6,115890.0,7,115980.0,5,115880.0,23
1597988228617612032,1597988228500000000,2020-08-21 13:37:08.500000,115940.0,116920.0,114770.0,116850.0,nan,115706.648,181501,21000872290.0,107038,115940.0,19,115920.0,3,115950.0,11,115910.0,9,115960.0,5,115900.0,15,115970.0,6,115890.0,7,115980.0,5,115880.0,23
1597988229115630080,1597988229000000000,2020-08-21 13:37:09.000000,115940.0,116920.0,114770.0,116850.0,nan,115706.648,181501,21000872290.0,107038,115940.0,19,115930.0,2,115950.0,11,115920.0,3,115960.0,5,115910.0,9,115970.0,6,115900.0,15,115980.0,5,115890.0,7
1597988229616848896,1597988229500000000,2020-08-21 13:37:09.500000,115930.0,116920.0,114770.0,116850.0,nan,115706.65,181503,21001104150.0,107038,115930.0,1,115920.0,3,115940.0,19,115910.0,9,115950.0,11,115900.0,15,115960.0,5,115890.0,7,115970.0,6,115880.0,22
1597988230133928960,1597988230000000000,2020-08-21 13:37:10.000000,115930.0,116920.0,114770.0,116850.0,nan,115706.65,181503,21001104150.0,107038,115930.0,2,115920.0,4,115940.0,19,115910.0,9,115950.0,11,115900.0,15,115960.0,5,115890.0,7,115970.0,6,115880.0,22
1597988230613937920,1597988230500000000,2020-08-21 13:37:10.500000,115930.0,116920.0,114770.0,116850.0,nan,115706.652,181504,21001220080.0,107039,115930.0,1,115920.0,4,115940.0,19,115910.0,9,115950.0,11,115900.0,15,115960.0,5,115890.0,7,115970.0,6,115880.0,22
1597988231123251968,1597988231000000000,2020-08-21 13:37:11.000000,115930.0,116920.0,114770.0,116850.0,nan,115706.654,181506,21001451940.0,107040,115940.0,19,115930.0,1,115950.0,11,115920.0,4,115960.0,5,115910.0,9,115970.0,5,115900.0,15,115980.0,5,115890.0,3
1597988231618552064,1597988231500000000,2020-08-21 13:37:11.500000,115930.0,116920.0,114770.0,116850.0,nan,115706.655,181507,21001567870.0,107041,115940.0,19,115930.0,1,115950.0,11,115920.0,4,115960.0,5,115910.0,9,115970.0,5,115900.0,15,115980.0,5,115890.0,3
1597988232125615104,1597988232000000000,2020-08-21 13:37:12.000000,115930.0,116920.0,114770.0,116850.0,nan,115706.658,181509,21001799730.0,107040,115930.0,4,115920.0,4,115940.0,19,115910.0,9,115950.0,11,115900.0,15,115960.0,5,115890.0,3,115970.0,5,115880.0,22
1597988232618411008,1597988232500000000,2020-08-21 13:37:12.500000,115920.0,116920.0,114770.0,116850.0,nan,115706.662,181513,21002263410.0,107040,115930.0,4,115910.0,9,115940.0,19,115900.0,15,115950.0,11,115890.0,3,115960.0,5,115880.0,22,115970.0,5,115870.0,8
1597988233117766912,1597988233000000000,2020-08-21 13:37:13.000000,115920.0,116920.0,114770.0,116850.0,nan,115706.662,181513,21002263410.0,107040,115920.0,7,115910.0,10,115930.0,9,115900.0,15,115940.0,19,115890.0,2,115950.0,11,115880.0,22,115960.0,5,115870.0,8
1597988233616036096,1597988233500000000,2020-08-21 13:37:13.500000,115930.0,116920.0,114770.0,116850.0,nan,115706.686,181533,21004581740.0,107046,115930.0,3,115900.0,15,115940.0,19,115890.0,2,115950.0,11,115880.0,22,115960.0,5,115870.0,8,115970.0,5,115860.0,8
1597988234126201088,1597988234000000000,2020-08-21 13:37:14.000000,115930.0,116920.0,114770.0,116850.0,nan,115706.7,181545,21005972900.0,107049,115940.0,19,115930.0,8,115950.0,11,115910.0,8,115960.0,5,115900.0,15,115970.0,5,115890.0,2,115980.0,5,115880.0,22
1597988234620527104,1597988234500000000,2020-08-21 13:37:14.500000,115930.0,116920.0,114770.0,116850.0,nan,115706.71,181553,21006900340.0,107049,115930.0,1,115910.0,8,115940.0,20,115900.0,15,115950.0,11,115890.0,2,115960.0,5,115880.0,22,115970.0,5,115870.0,8
1597988235127974912,1597988235000000000,2020-08-21 13:37:15.000000,115930.0,116920.0,114770.0,116850.0,nan,115706.71,181553,21006900340.0,107049,115930.0,2,115910.0,8,115940.0,17,115900.0,15,115950.0,11,115890.0,2,115960.0,5,115880.0,22,115970.0,5,115870.0,8
1597988235621776896,1597988235500000000,2020-08-21 13:37:15.500000,115930.0,116920.0,114770.0,116850.0,nan,115706.711,181554,21007016270.0,107050,115930.0,2,115910.0,8,115940.0,17,115900.0,15,115950.0,11,115890.0,2,115960.0,5,115880.0,22,115970.0,5,115870.0,8
1597988236616122112,1597988236500000000,2020-08-21 13:37:16.500000,115910.0,116920.0,114770.0,116850.0,nan,115706.712,181555,21007132180.0,107049,115930.0,2,115910.0,7,115940.0,17,115900.0,15,115950.0,11,115890.0,2,115960.0,5,115880.0,22,115970.0,5,115870.0,8
1597988237109483008,1597988237000000000,2020-08-21 13:37:17.000000,115930.0,116920.0,114770.0,116850.0,nan,115706.715,181557,21007364040.0,107050,115940.0,17,115920.0,1,115950.0,11,115910.0,7,115960.0,5,115900.0,15,115970.0,5,115890.0,2,115980.0,5,115880.0,22
1597988237624773120,1597988237500000000,2020-08-21 13:37:17.500000,115930.0,116920.0,114770.0,116850.0,nan,115706.715,181557,21007364040.0,107050,115930.0,1,115920.0,3,115940.0,17,115910.0,7,115950.0,12,115900.0,16,115960.0,5,115890.0,2,115970.0,5,115880.0,22
1597988238111275008,1597988238000000000,2020-08-21 13:37:18.000000,115920.0,116920.0,114770.0,116850.0,nan,115706.718,181560,21007711800.0,107052,115930.0,1,115910.0,7,115940.0,17,115900.0,16,115950.0,12,115890.0,2,115960.0,5,115880.0,22,115970.0,5,115870.0,8
1597988238620051968,1597988238500000000,2020-08-21 13:37:18.500000,115920.0,116920.0,114770.0,116850.0,nan,115706.718,181560,21007711800.0,107052,115930.0,5,115920.0,1,115940.0,17,115910.0,7,115950.0,12,115900.0,16,115960.0,5,115890.0,2,115970.0,5,115880.0,22
