local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988231149370880,1597988231000000000,2020-08-21 13:37:11.000000,16055.0,16100.0,15955.0,16085.0,nan,16023.764984,18854,1510560325.0,23789,16055.0,12,16050.0,85,16060.0,11,16045.0,4,16065.0,7,16040.0,3,16070.0,10,16035.0,16,16075.0,181,16030.0,36
1597988231620204032,1597988231500000000,2020-08-21 13:37:11.500000,16055.0,16100.0,15955.0,16085.0,nan,16023.764984,18854,1510560325.0,23789,16055.0,13,16050.0,85,16060.0,11,16045.0,4,16065.0,7,16040.0,3,16070.0,10,16035.0,16,16075.0,181,16030.0,32
1597988232135661056,1597988232000000000,2020-08-21 13:37:12.000000,16045.0,16100.0,15955.0,16085.0,nan,16023.883844,18940,1517461800.0,23771,16050.0,2,16045.0,63,16055.0,15,16040.0,3,16060.0,11,16035.0,16,16065.0,7,16030.0,32,16070.0,10,16025.0,6
1597988232620251904,1597988232500000000,2020-08-21 13:37:12.500000,16050.0,16100.0,15955.0,16085.0,nan,16023.906003,18958,1518906050.0,23765,16055.0,15,16045.0,54,16060.0,11,16040.0,3,16065.0,7,16035.0,11,16070.0,10,16030.0,36,16075.0,181,16025.0,6
1597988233114726912,1597988233000000000,2020-08-21 13:37:13.000000,16050.0,16100.0,15955.0,16085.0,nan,16023.906003,18958,1518906050.0,23765,16050.0,11,16045.0,54,16055.0,17,16040.0,3,16060.0,11,16035.0,12,16065.0,7,16030.0,36,16070.0,9,16025.0,6
1597988233628268032,1597988233500000000,2020-08-21 13:37:13.500000,16050.0,16100.0,15955.0,16085.0,nan,16023.906003,18958,1518906050.0,23765,16050.0,6,16045.0,54,16055.0,23,16040.0,4,16060.0,12,16035.0,11,16065.0,8,16030.0,36,16070.0,8,16025.0,6
1597988234616113920,1597988234500000000,2020-08-21 13:37:14.500000,16050.0,16100.0,15955.0,16085.0,nan,16023.914259,18964,1519387550.0,23763,16055.0,23,16045.0,54,16060.0,12,16040.0,4,16065.0,8,16035.0,11,16070.0,8,16030.0,36,16075.0,181,16025.0,6
1597988235128620032,1597988235000000000,2020-08-21 13:37:15.000000,16050.0,16100.0,15955.0,16085.0,nan,16023.914259,18964,1519387550.0,23763,16055.0,16,16050.0,2,16060.0,12,16045.0,54,16065.0,8,16040.0,6,16070.0,8,16035.0,11,16075.0,181,16030.0,36
1597988235621265920,1597988235500000000,2020-08-21 13:37:15.500000,16050.0,16100.0,15955.0,16085.0,nan,16023.914259,18964,1519387550.0,23763,16055.0,17,16050.0,4,16060.0,10,16045.0,55,16065.0,8,16040.0,6,16070.0,8,16035.0,11,16075.0,181,16030.0,36
1597988236113284096,1597988236000000000,2020-08-21 13:37:16.000000,16050.0,16100.0,15955.0,16085.0,nan,16023.914259,18964,1519387550.0,23763,16055.0,17,16050.0,2,16060.0,10,16045.0,55,16065.0,8,16040.0,6,16070.0,8,16035.0,11,16075.0,181,16030.0,36
1597988237132647936,1597988237000000000,2020-08-21 13:37:17.000000,16050.0,16100.0,15955.0,16085.0,nan,16023.915634,18965,1519467800.0,23764,16055.0,17,16050.0,2,16060.0,10,16045.0,55,16065.0,8,16040.0,6,16070.0,8,16035.0,11,16075.0,181,16030.0,36
1597988237620666880,1597988237500000000,2020-08-21 13:37:17.500000,16050.0,16100.0,15955.0,16085.0,nan,16023.915634,18965,1519467800.0,23764,16055.0,18,16050.0,3,16060.0,10,16045.0,55,16065.0,8,16040.0,6,16070.0,8,16035.0,11,16075.0,181,16030.0,36
1597988239113359872,1597988239000000000,2020-08-21 13:37:19.000000,16050.0,16100.0,15955.0,16085.0,nan,16023.917009,18966,1519548050.0,23765,16055.0,18,16050.0,2,16060.0,10,16045.0,55,16065.0,8,16040.0,6,16070.0,8,16035.0,11,16075.0,181,16030.0,36
1597988239619418880,1597988239500000000,2020-08-21 13:37:19.500000,16050.0,16100.0,15955.0,16085.0,nan,16023.91976,18968,1519708550.0,23765,16055.0,18,16045.0,55,16060.0,10,16040.0,6,16065.0,8,16035.0,11,16070.0,8,16030.0,36,16075.0,181,16025.0,7
1597988240148848896,1597988240000000000,2020-08-21 13:37:20.000000,16050.0,16100.0,15955.0,16085.0,nan,16023.91976,18968,1519708550.0,23765,16055.0,18,16050.0,2,16060.0,10,16045.0,55,16065.0,8,16040.0,7,16070.0,8,16035.0,11,16075.0,181,16030.0,36
1597988240615024896,1597988240500000000,2020-08-21 13:37:20.500000,16050.0,16100.0,15955.0,16085.0,nan,16023.91976,18968,1519708550.0,23765,16055.0,18,16045.0,55,16060.0,10,16040.0,7,16065.0,8,16035.0,11,16070.0,8,16030.0,36,16075.0,181,16025.0,7
1597988241144386048,1597988241000000000,2020-08-21 13:37:21.000000,16050.0,16100.0,15955.0,16085.0,nan,16023.91976,18968,1519708550.0,23765,16055.0,18,16050.0,3,16060.0,10,16045.0,55,16065.0,8,16040.0,7,16070.0,8,16035.0,11,16075.0,181,16030.0,36
1597988241621371904,1597988241500000000,2020-08-21 13:37:21.500000,16050.0,16100.0,15955.0,16085.0,nan,16023.91976,18968,1519708550.0,23765,16055.0,18,16045.0,55,16060.0,10,16040.0,7,16065.0,8,16035.0,11,16070.0,8,16030.0,36,16075.0,181,16025.0,7
1597988242122956032,1597988242000000000,2020-08-21 13:37:22.000000,16050.0,16100.0,15955.0,16085.0,nan,16023.91976,18968,1519708550.0,23765,16055.0,17,16050.0,3,16060.0,10,16045.0,55,16065.0,8,16040.0,7,16070.0,8,16035.0,11,16075.0,181,16030.0,36
1597988242618167040,1597988242500000000,2020-08-21 13:37:22.500000,16050.0,16100.0,15955.0,16085.0,nan,16023.91976,18968,1519708550.0,23765,16055.0,17,16050.0,1,16060.0,10,16045.0,55,16065.0,8,16040.0,7,16070.0,8,16035.0,11,16075.0,181,16030.0,36
1597988248131451904,1597988248000000000,2020-08-21 13:37:28.000000,16050.0,16100.0,15955.0,16085.0,nan,16023.921134,18969,1519788800.0,23765,16050.0,1,16045.0,55,16055.0,17,16040.0,7,16060.0,10,16035.0,11,16065.0,8,16030.0,36,16070.0,8,16025.0,7
1597988248625876992,1597988248500000000,2020-08-21 13:37:28.500000,16050.0,16100.0,15955.0,16085.0,nan,16023.925258,18972,1520029550.0,23762,16055.0,17,16045.0,55,16060.0,10,16040.0,5,16065.0,8,16035.0,11,16070.0,8,16030.0,36,16075.0,181,16025.0,7
1597988249130990080,1597988249000000000,2020-08-21 13:37:29.000000,16050.0,16100.0,15955.0,16085.0,nan,16023.925258,18972,1520029550.0,23762,16055.0,16,16045.0,55,16060.0,10,16040.0,5,16065.0,8,16035.0,11,16070.0,8,16030.0,36,16075.0,181,16025.0,7
1597988249606466048,1597988249500000000,2020-08-21 13:37:29.500000,16050.0,16100.0,15955.0,16085.0,nan,16023.925258,18972,1520029550.0,23762,16055.0,17,16045.0,55,16060.0,10,16040.0,5,16065.0,8,16035.0,11,16070.0,8,16030.0,36,16075.0,181,16025.0,7
