local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597989945617891072,1597989945500000000,2020-08-21 14:05:45.500000,4083.0,4083.0,4037.0,4037.0,nan,4055.571,7,283890.0,11,4084.0,1,4083.0,1,4098.0,1,4046.0,1,4190.0,1,4045.0,1,nan,0,4004.0,1,nan,0,3919.0,1
1597989950613111040,1597989950500000000,2020-08-21 14:05:50.500000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4084.0,1,4046.0,1,4098.0,1,4045.0,1,4190.0,1,4004.0,1,nan,0,3919.0,1,nan,0,3900.0,1
1597989955120727040,1597989955000000000,2020-08-21 14:05:55.000000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4083.0,1,4046.0,1,4084.0,1,4045.0,1,4098.0,1,4004.0,1,4190.0,1,3919.0,1,nan,0,3900.0,1
1597989960641147904,1597989960500000000,2020-08-21 14:06:00.500000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4083.0,1,4046.0,2,4084.0,1,4045.0,1,4098.0,1,4004.0,1,4190.0,1,3919.0,1,nan,0,3900.0,1
1597989967626237952,1597989967500000000,2020-08-21 14:06:07.500000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4083.0,1,4047.0,2,4084.0,1,4046.0,2,4098.0,1,4004.0,1,4190.0,1,3919.0,1,nan,0,3900.0,1
1597989973131154944,1597989973000000000,2020-08-21 14:06:13.000000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4083.0,1,4047.0,2,4084.0,1,4046.0,1,4098.0,1,4004.0,1,4190.0,1,3919.0,1,nan,0,3900.0,1
1597989976614561024,1597989976500000000,2020-08-21 14:06:16.500000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4083.0,1,4048.0,2,4084.0,1,4047.0,2,4098.0,1,4046.0,1,4190.0,1,4004.0,1,nan,0,3919.0,1
1597989978133649920,1597989978000000000,2020-08-21 14:06:18.000000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4083.0,1,4050.0,1,4084.0,1,4048.0,2,4098.0,1,4047.0,2,4190.0,1,4046.0,1,nan,0,4004.0,1
1597989982640261120,1597989982500000000,2020-08-21 14:06:22.500000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4083.0,1,4050.0,1,4084.0,1,4047.0,2,4098.0,1,4046.0,1,4190.0,1,4004.0,1,nan,0,3919.0,1
1597989985629882880,1597989985500000000,2020-08-21 14:06:25.500000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4083.0,1,4051.0,2,4084.0,1,4050.0,1,4098.0,1,4046.0,1,4190.0,1,4004.0,1,nan,0,3919.0,1
1597989990136150016,1597989990000000000,2020-08-21 14:06:30.000000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4083.0,1,4051.0,2,4084.0,1,4046.0,1,4098.0,1,4004.0,1,4190.0,1,3919.0,1,nan,0,3900.0,1
1597989990644957952,1597989990500000000,2020-08-21 14:06:30.500000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4083.0,1,4052.0,1,4084.0,1,4051.0,2,4098.0,1,4046.0,1,4190.0,1,4004.0,1,nan,0,3919.0,1
1597989993136156928,1597989993000000000,2020-08-21 14:06:33.000000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4083.0,1,4053.0,2,4084.0,1,4052.0,1,4098.0,1,4046.0,1,4190.0,1,4004.0,1,nan,0,3919.0,1
1597989998659888128,1597989998500000000,2020-08-21 14:06:38.500000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4083.0,1,4059.0,1,4084.0,1,4053.0,2,4098.0,1,4046.0,1,4190.0,1,4004.0,1,nan,0,3919.0,1
1597989999640536064,1597989999500000000,2020-08-21 14:06:39.500000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4083.0,1,4060.0,2,4084.0,1,4059.0,1,4098.0,1,4046.0,1,4190.0,1,4004.0,1,nan,0,3919.0,1
1597990020653786112,1597990020500000000,2020-08-21 14:07:00.500000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4083.0,1,4067.0,1,4084.0,1,4060.0,2,4098.0,1,4046.0,1,4190.0,1,4004.0,1,nan,0,3919.0,1
1597990024137665024,1597990024000000000,2020-08-21 14:07:04.000000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4084.0,1,4067.0,1,4098.0,1,4060.0,2,4190.0,1,4046.0,1,nan,0,4004.0,1,nan,0,3919.0,1
1597990026145427968,1597990026000000000,2020-08-21 14:07:06.000000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4084.0,1,4067.0,1,4098.0,1,4046.0,1,4190.0,1,4004.0,1,nan,0,3919.0,1,nan,0,3900.0,1
1597990029662065920,1597990029500000000,2020-08-21 14:07:09.500000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4083.0,1,4067.0,1,4084.0,1,4046.0,1,4098.0,1,4004.0,1,4190.0,1,3919.0,1,nan,0,3900.0,1
1597990030655804928,1597990030500000000,2020-08-21 14:07:10.500000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4083.0,1,4067.0,1,4098.0,1,4046.0,1,4099.0,1,4004.0,1,4190.0,1,3919.0,1,nan,0,3900.0,1
1597990217646782976,1597990217500000000,2020-08-21 14:10:17.500000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4083.0,1,4067.0,1,4096.0,1,4046.0,1,4098.0,1,4004.0,1,4190.0,1,3919.0,1,nan,0,3900.0,1
1597990275121187072,1597990275000000000,2020-08-21 14:11:15.000000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4096.0,1,4067.0,1,4098.0,1,4046.0,1,4190.0,1,4004.0,1,nan,0,3919.0,1,nan,0,3900.0,1
1597990275642880000,1597990275500000000,2020-08-21 14:11:15.500000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4095.0,1,4067.0,1,4096.0,1,4046.0,1,4098.0,1,4004.0,1,4190.0,1,3919.0,1,nan,0,3900.0,1
1597990278126568960,1597990278000000000,2020-08-21 14:11:18.000000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4094.0,1,4067.0,1,4095.0,1,4046.0,1,4096.0,1,4004.0,1,4098.0,1,3919.0,1,4190.0,1,3900.0,1
1597990278629957888,1597990278500000000,2020-08-21 14:11:18.500000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4093.0,1,4067.0,1,4094.0,1,4046.0,1,4096.0,1,4004.0,1,4098.0,1,3919.0,1,4190.0,1,3900.0,1
1597990286627086080,1597990286500000000,2020-08-21 14:11:26.500000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4093.0,1,4067.0,1,4094.0,1,4046.0,1,4098.0,1,4004.0,1,4190.0,1,3919.0,1,nan,0,3900.0,1
1597990287134192896,1597990287000000000,2020-08-21 14:11:27.000000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4092.0,1,4067.0,1,4093.0,1,4046.0,1,4094.0,1,4004.0,1,4098.0,1,3919.0,1,4190.0,1,3900.0,1
1597990287617359872,1597990287500000000,2020-08-21 14:11:27.500000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4091.0,1,4067.0,1,4092.0,1,4046.0,1,4094.0,1,4004.0,1,4098.0,1,3919.0,1,4190.0,1,3900.0,1
1597990291126087936,1597990291000000000,2020-08-21 14:11:31.000000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4091.0,1,4067.0,1,4094.0,1,4046.0,1,4098.0,1,4004.0,1,4190.0,1,3919.0,1,nan,0,3900.0,1
1597990291627767040,1597990291500000000,2020-08-21 14:11:31.500000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4090.0,1,4067.0,1,4091.0,1,4046.0,1,4094.0,1,4004.0,1,4098.0,1,3919.0,1,4190.0,1,3900.0,1
1597990292141517056,1597990292000000000,2020-08-21 14:11:32.000000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4090.0,1,4067.0,1,4094.0,1,4046.0,1,4098.0,1,4004.0,1,4190.0,1,3919.0,1,nan,0,3900.0,1
1597990297669261056,1597990297500000000,2020-08-21 14:11:37.500000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4089.0,1,4067.0,1,4090.0,1,4046.0,1,4098.0,1,4004.0,1,4190.0,1,3919.0,1,nan,0,3900.0,1
1597990299630415872,1597990299500000000,2020-08-21 14:11:39.500000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4089.0,1,4067.0,1,4098.0,1,4046.0,1,4190.0,1,4004.0,1,nan,0,3919.0,1,nan,0,3900.0,1
1597990300137867008,1597990300000000000,2020-08-21 14:11:40.000000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4089.0,1,4067.0,1,4097.0,1,4046.0,1,4098.0,1,4004.0,1,4190.0,1,3919.0,1,nan,0,3900.0,1
1597990323149862912,1597990323000000000,2020-08-21 14:12:03.000000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4089.0,1,4046.0,1,4097.0,1,4004.0,1,4098.0,1,3919.0,1,4190.0,1,3900.0,1,nan,0,3888.0,1
1597990325654139904,1597990325500000000,2020-08-21 14:12:05.500000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4089.0,1,4047.0,1,4097.0,1,4046.0,1,4098.0,1,4004.0,1,4190.0,1,3919.0,1,nan,0,3900.0,1
1597990332187558912,1597990332000000000,2020-08-21 14:12:12.000000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4089.0,1,4047.0,1,4097.0,1,4004.0,1,4098.0,1,3919.0,1,4190.0,1,3900.0,1,nan,0,3888.0,1
1597990332629392896,1597990332500000000,2020-08-21 14:12:12.500000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4089.0,1,4048.0,1,4097.0,1,4047.0,1,4098.0,1,4004.0,1,4190.0,1,3919.0,1,nan,0,3900.0,1
1597990356615216896,1597990356500000000,2020-08-21 14:12:36.500000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4089.0,1,4049.0,2,4097.0,1,4048.0,1,4098.0,1,4004.0,1,4190.0,1,3919.0,1,nan,0,3900.0,1
1597990358645609984,1597990358500000000,2020-08-21 14:12:38.500000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4089.0,1,4050.0,1,4097.0,1,4049.0,2,4098.0,1,4004.0,1,4190.0,1,3919.0,1,nan,0,3900.0,1
1597990365138483968,1597990365000000000,2020-08-21 14:12:45.000000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4089.0,1,4050.0,1,4097.0,1,4004.0,1,4098.0,1,3919.0,1,4190.0,1,3900.0,1,nan,0,3888.0,1
1597990365633688064,1597990365500000000,2020-08-21 14:12:45.500000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4089.0,1,4051.0,2,4097.0,1,4050.0,1,4098.0,1,4004.0,1,4190.0,1,3919.0,1,nan,0,3900.0,1
1597990369133580032,1597990369000000000,2020-08-21 14:12:49.000000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4089.0,1,4052.0,1,4097.0,1,4051.0,2,4098.0,1,4004.0,1,4190.0,1,3919.0,1,nan,0,3900.0,1
1597990372128849920,1597990372000000000,2020-08-21 14:12:52.000000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4089.0,1,4053.0,2,4097.0,1,4052.0,1,4098.0,1,4004.0,1,4190.0,1,3919.0,1,nan,0,3900.0,1
1597990374123664896,1597990374000000000,2020-08-21 14:12:54.000000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4089.0,1,4054.0,1,4097.0,1,4053.0,2,4098.0,1,4004.0,1,4190.0,1,3919.0,1,nan,0,3900.0,1
1597990379614827008,1597990379500000000,2020-08-21 14:12:59.500000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4089.0,1,4055.0,2,4097.0,1,4054.0,1,4098.0,1,4004.0,1,4190.0,1,3919.0,1,nan,0,3900.0,1
1597990381141831936,1597990381000000000,2020-08-21 14:13:01.000000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4089.0,1,4056.0,1,4097.0,1,4055.0,2,4098.0,1,4004.0,1,4190.0,1,3919.0,1,nan,0,3900.0,1
1597990385621263872,1597990385500000000,2020-08-21 14:13:05.500000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4089.0,1,4057.0,1,4097.0,1,4056.0,1,4098.0,1,4004.0,1,4190.0,1,3919.0,1,nan,0,3900.0,1
1597990388193325056,1597990388000000000,2020-08-21 14:13:08.000000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4089.0,1,4058.0,1,4097.0,1,4057.0,1,4098.0,1,4004.0,1,4190.0,1,3919.0,1,nan,0,3900.0,1
1597990394134333952,1597990394000000000,2020-08-21 14:13:14.000000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4089.0,1,4059.0,1,4097.0,1,4058.0,1,4098.0,1,4004.0,1,4190.0,1,3919.0,1,nan,0,3900.0,1
1597990395624446976,1597990395500000000,2020-08-21 14:13:15.500000,4083.0,4083.0,4037.0,4037.0,nan,4059.0,8,324720.0,12,4089.0,1,4060.0,1,4097.0,1,4059.0,1,4098.0,1,4004.0,1,4190.0,1,3919.0,1,nan,0,3900.0,1
1597990443611154944,1597990443500000000,2020-08-21 14:14:03.500000,4060.0,4083.0,4037.0,4037.0,nan,4059.111,9,365320.0,11,4089.0,1,4059.0,1,4097.0,1,4004.0,1,4098.0,1,3919.0,1,4190.0,1,3900.0,1,nan,0,3888.0,1
1597990452184908032,1597990452000000000,2020-08-21 14:14:12.000000,4060.0,4083.0,4037.0,4037.0,nan,4059.111,9,365320.0,11,4089.0,1,4059.0,1,4097.0,1,3919.0,1,4098.0,1,3900.0,1,4190.0,1,3888.0,1,nan,0,3813.0,1
1597990452636230912,1597990452500000000,2020-08-21 14:14:12.500000,4060.0,4083.0,4037.0,4037.0,nan,4059.111,9,365320.0,11,4089.0,1,4060.0,1,4097.0,1,4059.0,1,4098.0,1,3919.0,1,4190.0,1,3900.0,1,nan,0,3888.0,1
