local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988226621436928,1597988226500000000,2020-08-21 13:37:06.500000,20185.0,20220.0,20020.0,20195.0,nan,20110.334,89606,9010033100.0,64235,20185.0,21,20180.0,29,20190.0,33,20175.0,42,20195.0,35,20170.0,26,20200.0,140,20165.0,32,20205.0,22,20160.0,37
1597988227118157056,1597988227000000000,2020-08-21 13:37:07.000000,20185.0,20220.0,20020.0,20195.0,nan,20110.334,89606,9010033100.0,64235,20185.0,21,20180.0,29,20190.0,33,20175.0,42,20195.0,35,20170.0,27,20200.0,140,20165.0,32,20205.0,22,20160.0,38
1597988227622385920,1597988227500000000,2020-08-21 13:37:07.500000,20185.0,20220.0,20020.0,20195.0,nan,20110.336,89608,9010234950.0,64234,20185.0,19,20180.0,30,20190.0,33,20175.0,42,20195.0,35,20170.0,27,20200.0,140,20165.0,32,20205.0,22,20160.0,38
1597988228113731072,1597988228000000000,2020-08-21 13:37:08.000000,20185.0,20220.0,20020.0,20195.0,nan,20110.348,89622,9011647900.0,64237,20185.0,11,20180.0,38,20190.0,33,20175.0,42,20195.0,35,20170.0,27,20200.0,150,20165.0,32,20205.0,22,20160.0,38
1597988228614932992,1597988228500000000,2020-08-21 13:37:08.500000,20185.0,20220.0,20020.0,20195.0,nan,20110.349,89623,9011748825.0,64237,20185.0,11,20180.0,41,20190.0,33,20175.0,42,20195.0,35,20170.0,27,20200.0,150,20165.0,33,20205.0,22,20160.0,38
1597988229614948096,1597988229500000000,2020-08-21 13:37:09.500000,20180.0,20220.0,20020.0,20195.0,nan,20110.352,89628,9012253325.0,64237,20185.0,12,20180.0,36,20190.0,33,20175.0,42,20195.0,35,20170.0,27,20200.0,151,20165.0,33,20205.0,22,20160.0,38
1597988230128118016,1597988230000000000,2020-08-21 13:37:10.000000,20180.0,20220.0,20020.0,20195.0,nan,20110.352,89628,9012253325.0,64237,20185.0,34,20180.0,36,20190.0,33,20175.0,42,20195.0,35,20170.0,27,20200.0,151,20165.0,33,20205.0,22,20160.0,38
1597988230611751936,1597988230500000000,2020-08-21 13:37:10.500000,20180.0,20220.0,20020.0,20195.0,nan,20110.352,89628,9012253325.0,64237,20185.0,35,20180.0,28,20190.0,33,20175.0,42,20195.0,35,20170.0,27,20200.0,151,20165.0,33,20205.0,22,20160.0,38
1597988231120907008,1597988231000000000,2020-08-21 13:37:11.000000,20180.0,20220.0,20020.0,20195.0,nan,20110.373,89654,9014876725.0,64233,20180.0,6,20175.0,42,20185.0,36,20170.0,27,20190.0,33,20165.0,33,20195.0,35,20160.0,38,20200.0,150,20155.0,19
1597988231612654080,1597988231500000000,2020-08-21 13:37:11.500000,20180.0,20220.0,20020.0,20195.0,nan,20110.373,89654,9014876725.0,64233,20180.0,19,20175.0,40,20185.0,36,20170.0,28,20190.0,35,20165.0,33,20195.0,35,20160.0,38,20200.0,150,20155.0,19
1597988232123976960,1597988232000000000,2020-08-21 13:37:12.000000,20180.0,20220.0,20020.0,20195.0,nan,20110.373,89654,9014876725.0,64233,20180.0,20,20175.0,33,20185.0,36,20170.0,29,20190.0,35,20165.0,33,20195.0,35,20160.0,38,20200.0,150,20155.0,19
1597988232616432128,1597988232500000000,2020-08-21 13:37:12.500000,20180.0,20220.0,20020.0,20195.0,nan,20110.373,89654,9014876725.0,64233,20180.0,25,20175.0,34,20185.0,36,20170.0,29,20190.0,35,20165.0,33,20195.0,35,20160.0,38,20200.0,150,20155.0,19
1597988233114785024,1597988233000000000,2020-08-21 13:37:13.000000,20180.0,20220.0,20020.0,20195.0,nan,20110.373,89654,9014876725.0,64233,20180.0,25,20175.0,37,20185.0,36,20170.0,29,20190.0,35,20165.0,33,20195.0,35,20160.0,38,20200.0,150,20155.0,19
1597988233627321088,1597988233500000000,2020-08-21 13:37:13.500000,20180.0,20220.0,20020.0,20195.0,nan,20110.387,89672,9016692925.0,64222,20180.0,11,20175.0,37,20185.0,36,20170.0,29,20190.0,35,20165.0,33,20195.0,35,20160.0,38,20200.0,150,20155.0,19
1597988234137015040,1597988234000000000,2020-08-21 13:37:14.000000,20180.0,20220.0,20020.0,20195.0,nan,20110.387,89672,9016692925.0,64222,20180.0,13,20175.0,38,20185.0,36,20170.0,29,20190.0,35,20165.0,33,20195.0,35,20160.0,38,20200.0,150,20155.0,19
1597988234617990912,1597988234500000000,2020-08-21 13:37:14.500000,20180.0,20220.0,20020.0,20195.0,nan,20110.388,89674,9016894725.0,64221,20180.0,20,20175.0,38,20185.0,36,20170.0,29,20190.0,35,20165.0,33,20195.0,35,20160.0,38,20200.0,150,20155.0,19
1597988236109629952,1597988236000000000,2020-08-21 13:37:16.000000,20180.0,20220.0,20020.0,20195.0,nan,20110.388,89674,9016894725.0,64221,20180.0,20,20175.0,38,20185.0,35,20170.0,28,20190.0,35,20165.0,33,20195.0,35,20160.0,38,20200.0,150,20155.0,19
