symbol,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,settlement,upper_limit,lower_limit,pre_open_interest,pre_settlement,pre_close,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
CZCE.RM005C2850,2020-04-03 14:59:59.000001,nan,nan,nan,nan,nan,nan,0,0.0,35,nan,142.5,0.5,35,0.5,0.5,2.0,20,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
CZCE.RM005P2800,2020-04-03 14:59:59.000001,nan,nan,nan,nan,nan,nan,0,0.0,15,nan,590.0,306.0,15,448.0,448.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
CZCE.RM005P2850,2020-04-03 14:59:59.000001,nan,nan,nan,nan,nan,nan,0,0.0,15,nan,640.0,356.0,15,498.0,498.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
CZCE.RM007C2800,2020-06-03 14:59:59.000001,nan,nan,nan,nan,nan,nan,0,0.0,1028,nan,115.5,0.5,1028,0.5,0.5,0.5,51,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
CZCE.RM007C2850,2020-06-03 14:59:59.000001,nan,nan,nan,nan,nan,nan,0,0.0,1840,nan,115.5,0.5,1840,0.5,0.5,0.5,169,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
CZCE.RM007P2800,2020-06-03 14:59:59.000001,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,629.0,399.0,0,514.0,514.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
CZCE.RM007P2850,2020-06-03 14:59:59.000001,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,679.0,449.0,0,564.0,564.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
CZCE.RM009C2800,2020-08-05 14:59:59.000001,nan,nan,nan,nan,nan,nan,0,0.0,1820,nan,120.5,0.5,1820,0.5,0.5,0.5,579,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
CZCE.RM009C2850,2020-08-05 14:59:59.000001,0.5,0.5,0.5,0.5,0.5,0.5,2,10.0,9505,0.5,120.5,0.5,9505,0.5,0.5,0.5,3199,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
CZCE.RM009P2800,2020-08-05 14:59:59.000001,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,531.0,291.0,0,411.0,411.0,529.0,1,301.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
CZCE.RM009P2850,2020-08-05 14:59:59.000001,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,581.0,341.0,0,461.0,461.0,nan,0,366.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
CZCE.RM011C2600,2020-08-21 14:59:59.000001,1.5,2.5,1.0,1.0,1.5,2.0,52,1040.0,385,2.0,115.5,0.5,410,2.5,3.0,2.0,20,0.5,86,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
CZCE.RM011C2650,2020-08-21 14:59:59.000001,1.0,2.0,0.5,2.0,1.0,1.5,43,645.0,209,1.5,115.0,0.5,228,2.0,2.5,1.5,1,0.5,76,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
CZCE.RM011C2700,2020-08-21 14:59:59.000001,1.5,1.5,0.5,1.0,1.5,1.5,154,2310.0,756,1.5,114.5,0.5,752,1.5,1.5,1.5,17,0.5,255,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
CZCE.RM011P2600,2020-08-21 14:59:59.000001,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,466.5,240.5,0,353.5,353.5,417.5,1,319.5,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
CZCE.RM011P2650,2020-08-21 14:59:59.000001,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,516.0,290.0,0,403.0,403.0,467.5,1,375.5,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
CZCE.RM011P2700,2020-08-21 14:59:59.000001,nan,nan,nan,nan,nan,nan,0,0.0,3,nan,566.0,340.0,3,453.0,453.0,517.5,1,425.5,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
CZCE.RM101C2500,2020-08-21 14:59:59.000001,20.0,23.0,19.5,22.0,20.0,20.0,179,35800.0,950,20.0,140.0,0.5,878,25.0,24.5,75.5,1,10.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
CZCE.RM101C2550,2020-08-21 14:59:59.000001,15.5,16.5,14.0,16.5,15.5,15.5,295,45725.0,2520,15.5,134.0,0.5,2612,19.0,18.5,28.0,1,14.5,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
CZCE.RM101P2500,2020-08-21 14:59:59.000001,nan,nan,nan,nan,nan,nan,0,0.0,14,nan,348.5,118.5,14,233.5,233.5,nan,0,191.5,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
CZCE.RM101P2550,2020-08-21 14:59:59.000001,298.0,298.0,298.0,298.0,298.0,298.0,1,2980.0,33,298.0,392.5,162.5,33,277.5,277.5,349.0,1,241.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
CZCE.TA005C2850,2020-04-03 14:59:59.000001,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,602.0,150.0,0,376.0,376.0,nan,0,151.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
